refund_id,order_id,gateway_tx_id,seller_id,amount,currency,refunded_at,reason,scenario
REFUND-C03-000035,ORD-C03-000246,GTW-C03-000246,SEL-C03-046,953.17,BRL,2026-04-08T15:28:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000036,ORD-C03-000253,GTW-C03-000253,SEL-C03-003,33.76,BRL,2026-03-15T15:41:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000037,ORD-C03-000260,GTW-C03-000260,SEL-C03-010,310.96,BRL,2026-03-22T15:54:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000038,ORD-C03-000267,GTW-C03-000267,SEL-C03-017,82.91,BRL,2026-03-29T12:00:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000039,ORD-C03-000274,GTW-C03-000274,SEL-C03-024,340.63,BRL,2026-04-05T12:13:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000040,ORD-C03-000281,GTW-C03-000281,SEL-C03-031,970.75,BRL,2026-03-12T12:26:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000041,ORD-C03-000288,GTW-C03-000288,SEL-C03-038,600.47,BRL,2026-03-19T12:39:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000042,ORD-C03-000295,GTW-C03-000295,SEL-C03-045,239.80,BRL,2026-03-26T12:52:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000043,ORD-C03-000302,GTW-C03-000302,SEL-C03-002,134.58,BRL,2026-04-02T13:05:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000044,ORD-C03-000309,GTW-C03-000309,SEL-C03-009,116.14,BRL,2026-04-09T13:18:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000045,ORD-C03-000316,GTW-C03-000316,SEL-C03-016,671.94,BRL,2026-03-16T13:31:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000046,ORD-C03-000323,GTW-C03-000323,SEL-C03-023,855.75,BRL,2026-03-23T13:44:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000047,ORD-C03-000330,GTW-C03-000330,SEL-C03-030,725.96,BRL,2026-03-30T13:57:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000048,ORD-C03-000337,GTW-C03-000337,SEL-C03-037,737.19,BRL,2026-04-06T14:10:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000049,ORD-C03-000344,GTW-C03-000344,SEL-C03-044,407.87,BRL,2026-03-13T14:23:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000050,ORD-C03-000351,GTW-C03-000351,SEL-C03-001,355.43,BRL,2026-03-20T14:36:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000051,ORD-C03-000358,GTW-C03-000358,SEL-C03-008,156.28,BRL,2026-03-27T14:49:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000052,ORD-C03-000365,GTW-C03-000365,SEL-C03-015,1027.81,BRL,2026-04-03T15:02:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000053,ORD-C03-000372,GTW-C03-000372,SEL-C03-022,282.40,USD,2026-03-10T15:15:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000054,ORD-C03-000379,GTW-C03-000379,SEL-C03-029,688.46,BRL,2026-03-17T15:28:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000055,ORD-C03-000386,GTW-C03-000386,SEL-C03-036,94.20,BRL,2026-03-24T15:41:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000056,ORD-C03-000393,GTW-C03-000393,SEL-C03-043,582.03,BRL,2026-03-31T15:54:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000057,ORD-C03-000400,GTW-C03-000400,SEL-C03-050,566.12,BRL,2026-04-07T12:00:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000058,ORD-C03-000407,GTW-C03-000407,SEL-C03-007,788.30,BRL,2026-03-14T12:13:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000059,ORD-C03-000414,GTW-C03-000414,SEL-C03-014,947.44,BRL,2026-03-21T12:26:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000060,ORD-C03-000421,GTW-C03-000421,SEL-C03-021,207.29,BRL,2026-03-28T12:39:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000061,ORD-C03-000428,GTW-C03-000428,SEL-C03-028,791.98,BRL,2026-04-04T12:52:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000062,ORD-C03-000435,GTW-C03-000435,SEL-C03-035,1036.60,BRL,2026-03-11T13:05:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000063,ORD-C03-000442,GTW-C03-000442,SEL-C03-042,211.83,BRL,2026-03-18T13:18:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000064,ORD-C03-000449,GTW-C03-000449,SEL-C03-049,852.41,BRL,2026-03-25T13:31:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000065,ORD-C03-000456,GTW-C03-000456,SEL-C03-006,691.71,EUR,2026-04-01T13:44:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000066,ORD-C03-000463,GTW-C03-000463,SEL-C03-013,173.76,BRL,2026-04-08T13:57:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000067,ORD-C03-000470,GTW-C03-000470,SEL-C03-020,60.20,BRL,2026-03-15T14:10:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000068,ORD-C03-000477,GTW-C03-000477,SEL-C03-027,632.01,BRL,2026-03-22T14:23:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000069,ORD-C03-000484,GTW-C03-000484,SEL-C03-034,1020.20,BRL,2026-03-29T14:36:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000070,ORD-C03-000491,GTW-C03-000491,SEL-C03-041,327.89,BRL,2026-04-05T14:49:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000071,ORD-C03-000498,GTW-C03-000498,SEL-C03-048,472.36,BRL,2026-03-12T15:02:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000072,ORD-C03-000505,GTW-C03-000505,SEL-C03-005,156.86,BRL,2026-03-19T15:15:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000073,ORD-C03-000512,GTW-C03-000512,SEL-C03-012,848.35,BRL,2026-03-26T15:28:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000074,ORD-C03-000519,GTW-C03-000519,SEL-C03-019,387.55,BRL,2026-04-02T15:41:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000075,ORD-C03-000526,GTW-C03-000526,SEL-C03-026,840.25,BRL,2026-04-09T15:54:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000076,ORD-C03-000533,GTW-C03-000533,SEL-C03-033,158.16,BRL,2026-03-16T12:00:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000077,ORD-C03-000540,GTW-C03-000540,SEL-C03-040,1050.23,BRL,2026-03-23T12:13:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000078,ORD-C03-000547,GTW-C03-000547,SEL-C03-047,153.78,BRL,2026-03-30T12:26:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000079,ORD-C03-000554,GTW-C03-000554,SEL-C03-004,1007.70,BRL,2026-04-06T12:39:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000080,ORD-C03-000561,GTW-C03-000561,SEL-C03-011,142.07,BRL,2026-03-13T12:52:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000081,ORD-C03-000568,GTW-C03-000568,SEL-C03-018,811.01,BRL,2026-03-20T13:05:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000082,ORD-C03-000575,GTW-C03-000575,SEL-C03-025,767.31,BRL,2026-03-27T13:18:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000083,ORD-C03-000582,GTW-C03-000582,SEL-C03-032,525.80,BRL,2026-04-03T13:31:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000084,ORD-C03-000589,GTW-C03-000589,SEL-C03-039,804.17,BRL,2026-03-10T13:44:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000085,ORD-C03-000596,GTW-C03-000596,SEL-C03-046,732.35,BRL,2026-03-17T13:57:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000086,ORD-C03-000603,GTW-C03-000603,SEL-C03-003,731.39,BRL,2026-03-24T14:10:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000087,ORD-C03-000610,GTW-C03-000610,SEL-C03-010,347.94,BRL,2026-03-31T14:23:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000088,ORD-C03-000617,GTW-C03-000617,SEL-C03-017,303.74,BRL,2026-04-07T14:36:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000089,ORD-C03-000624,GTW-C03-000624,SEL-C03-024,1020.70,USD,2026-03-14T14:49:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000090,ORD-C03-000631,GTW-C03-000631,SEL-C03-031,628.96,BRL,2026-03-21T15:02:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000091,ORD-C03-000638,GTW-C03-000638,SEL-C03-038,904.35,BRL,2026-03-28T15:15:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000092,ORD-C03-000645,GTW-C03-000645,SEL-C03-045,422.31,BRL,2026-04-04T15:28:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000093,ORD-C03-000652,GTW-C03-000652,SEL-C03-002,311.14,BRL,2026-03-11T15:41:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000094,ORD-C03-000659,GTW-C03-000659,SEL-C03-009,78.79,BRL,2026-03-18T15:54:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000095,ORD-C03-000666,GTW-C03-000666,SEL-C03-016,369.52,BRL,2026-03-25T12:00:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000096,ORD-C03-000673,GTW-C03-000673,SEL-C03-023,692.28,BRL,2026-04-01T12:13:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000097,ORD-C03-000680,GTW-C03-000680,SEL-C03-030,860.41,BRL,2026-04-08T12:26:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000098,ORD-C03-000687,GTW-C03-000687,SEL-C03-037,86.88,BRL,2026-03-15T12:39:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000099,ORD-C03-000694,GTW-C03-000694,SEL-C03-044,336.15,BRL,2026-03-22T12:52:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000100,ORD-C03-000701,GTW-C03-000701,SEL-C03-001,545.37,BRL,2026-03-29T13:05:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000101,ORD-C03-000708,GTW-C03-000708,SEL-C03-008,876.70,EUR,2026-04-05T13:18:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000102,ORD-C03-000715,GTW-C03-000715,SEL-C03-015,710.41,BRL,2026-03-12T13:31:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000103,ORD-C03-000722,GTW-C03-000722,SEL-C03-022,61.24,BRL,2026-03-19T13:44:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000104,ORD-C03-000729,GTW-C03-000729,SEL-C03-029,593.05,BRL,2026-03-26T13:57:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000105,ORD-C03-000736,GTW-C03-000736,SEL-C03-036,507.51,BRL,2026-04-02T14:10:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000106,ORD-C03-000743,GTW-C03-000743,SEL-C03-043,138.63,BRL,2026-04-09T14:23:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000107,ORD-C03-000750,GTW-C03-000750,SEL-C03-050,376.38,BRL,2026-03-16T14:36:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000108,ORD-C03-000757,GTW-C03-000757,SEL-C03-007,16.04,BRL,2026-03-23T14:49:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000109,ORD-C03-000764,GTW-C03-000764,SEL-C03-014,802.26,BRL,2026-03-30T15:02:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000110,ORD-C03-000771,GTW-C03-000771,SEL-C03-021,639.35,BRL,2026-04-06T15:15:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000111,ORD-C03-000778,GTW-C03-000778,SEL-C03-028,275.14,BRL,2026-03-13T15:28:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000112,ORD-C03-000785,GTW-C03-000785,SEL-C03-035,497.17,BRL,2026-03-20T15:41:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000113,ORD-C03-000792,GTW-C03-000792,SEL-C03-042,64.34,BRL,2026-03-27T15:54:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000114,ORD-C03-000799,GTW-C03-000799,SEL-C03-049,615.37,BRL,2026-04-03T12:00:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000115,ORD-C03-000806,GTW-C03-000806,SEL-C03-006,766.74,BRL,2026-03-10T12:13:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000116,ORD-C03-000813,GTW-C03-000813,SEL-C03-013,1096.10,BRL,2026-03-17T12:26:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000117,ORD-C03-000820,GTW-C03-000820,SEL-C03-020,390.84,BRL,2026-03-24T12:39:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000118,ORD-C03-000827,GTW-C03-000827,SEL-C03-027,15.74,BRL,2026-03-31T12:52:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000119,ORD-C03-000834,GTW-C03-000834,SEL-C03-034,789.69,BRL,2026-04-07T13:05:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000120,ORD-C03-000841,GTW-C03-000841,SEL-C03-041,764.16,BRL,2026-03-14T13:18:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000121,ORD-C03-000848,GTW-C03-000848,SEL-C03-048,72.21,BRL,2026-03-21T13:31:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000122,ORD-C03-000855,GTW-C03-000855,SEL-C03-005,1092.16,BRL,2026-03-28T13:44:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000123,ORD-C03-000862,GTW-C03-000862,SEL-C03-012,926.98,BRL,2026-04-04T13:57:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000124,ORD-C03-000869,GTW-C03-000869,SEL-C03-019,166.07,BRL,2026-03-11T14:10:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000125,ORD-C03-000876,GTW-C03-000876,SEL-C03-026,1040.80,USD,2026-03-18T14:23:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000126,ORD-C03-000883,GTW-C03-000883,SEL-C03-033,43.65,BRL,2026-03-25T14:36:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000127,ORD-C03-000890,GTW-C03-000890,SEL-C03-040,1015.16,BRL,2026-04-01T14:49:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000128,ORD-C03-000897,GTW-C03-000897,SEL-C03-047,774.06,BRL,2026-04-08T15:02:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000129,ORD-C03-000904,GTW-C03-000904,SEL-C03-004,358.60,BRL,2026-03-15T15:15:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000130,ORD-C03-000911,GTW-C03-000911,SEL-C03-011,158.53,BRL,2026-03-22T15:28:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000131,ORD-C03-000918,GTW-C03-000918,SEL-C03-018,794.64,BRL,2026-03-29T15:41:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000132,ORD-C03-000005,GTW-C03-000005,SEL-C03-005,855.65,BRL,2026-03-15T15:54:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000133,ORD-C03-000012,GTW-C03-000012,SEL-C03-012,1073.69,USD,2026-03-22T12:00:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000134,ORD-C03-000019,GTW-C03-000019,SEL-C03-019,40.66,BRL,2026-03-29T12:13:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000135,ORD-C03-000026,GTW-C03-000026,SEL-C03-026,609.44,BRL,2026-04-05T12:26:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000136,ORD-C03-000033,GTW-C03-000033,SEL-C03-033,662.26,BRL,2026-03-12T12:39:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000137,ORD-C03-000040,GTW-C03-000040,SEL-C03-040,256.98,BRL,2026-03-19T12:52:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000138,ORD-C03-000047,GTW-C03-000047,SEL-C03-047,740.49,BRL,2026-03-26T13:05:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000139,ORD-C03-000054,GTW-C03-000054,SEL-C03-004,1060.99,BRL,2026-04-02T13:18:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000140,ORD-C03-000061,GTW-C03-000061,SEL-C03-011,771.60,BRL,2026-04-09T13:31:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000141,ORD-C03-000068,GTW-C03-000068,SEL-C03-018,538.95,BRL,2026-03-16T13:44:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000142,ORD-C03-000075,GTW-C03-000075,SEL-C03-025,866.45,BRL,2026-03-23T13:57:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000143,ORD-C03-000082,GTW-C03-000082,SEL-C03-032,162.86,BRL,2026-03-30T14:10:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000144,ORD-C03-000089,GTW-C03-000089,SEL-C03-039,506.74,BRL,2026-04-06T14:23:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000145,ORD-C03-000096,GTW-C03-000096,SEL-C03-046,420.27,EUR,2026-03-13T14:36:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000146,ORD-C03-000103,GTW-C03-000103,SEL-C03-003,947.49,BRL,2026-03-20T14:49:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000147,ORD-C03-000110,GTW-C03-000110,SEL-C03-010,1057.64,BRL,2026-03-27T15:02:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000148,ORD-C03-000117,GTW-C03-000117,SEL-C03-017,796.40,BRL,2026-04-03T15:15:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000149,ORD-C03-000124,GTW-C03-000124,SEL-C03-024,227.25,BRL,2026-03-10T15:28:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000150,ORD-C03-000131,GTW-C03-000131,SEL-C03-031,269.81,BRL,2026-03-17T15:41:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000151,ORD-C03-000138,GTW-C03-000138,SEL-C03-038,63.70,BRL,2026-03-24T15:54:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000152,ORD-C03-000145,GTW-C03-000145,SEL-C03-045,497.44,BRL,2026-03-31T12:00:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000153,ORD-C03-000152,GTW-C03-000152,SEL-C03-002,313.62,BRL,2026-04-07T12:13:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000154,ORD-C03-000159,GTW-C03-000159,SEL-C03-009,682.23,BRL,2026-03-14T12:26:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000155,ORD-C03-000166,GTW-C03-000166,SEL-C03-016,92.95,BRL,2026-03-21T12:39:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000156,ORD-C03-000173,GTW-C03-000173,SEL-C03-023,642.15,BRL,2026-03-28T12:52:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000157,ORD-C03-000180,GTW-C03-000180,SEL-C03-030,465.22,BRL,2026-04-04T13:05:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000158,ORD-C03-000187,GTW-C03-000187,SEL-C03-037,311.06,BRL,2026-03-11T13:18:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000159,ORD-C03-000194,GTW-C03-000194,SEL-C03-044,648.47,BRL,2026-03-18T13:31:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000160,ORD-C03-000201,GTW-C03-000201,SEL-C03-001,363.93,BRL,2026-03-25T13:44:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000161,ORD-C03-000208,GTW-C03-000208,SEL-C03-008,821.62,BRL,2026-04-01T13:57:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000162,ORD-C03-000215,GTW-C03-000215,SEL-C03-015,753.89,BRL,2026-04-08T14:10:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000163,ORD-C03-000222,GTW-C03-000222,SEL-C03-022,87.18,BRL,2026-03-15T14:23:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000164,ORD-C03-000229,GTW-C03-000229,SEL-C03-029,377.50,BRL,2026-03-22T14:36:00Z,fraud_review,refund_links_to_gateway_and_order
REFUND-C03-000165,ORD-C03-000236,GTW-C03-000236,SEL-C03-036,623.63,BRL,2026-03-29T14:49:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000166,ORD-C03-000243,GTW-C03-000243,SEL-C03-043,74.85,BRL,2026-04-05T15:02:00Z,customer_request,refund_links_to_gateway_and_order
REFUND-C03-000167,ORD-C03-000250,GTW-C03-000250,SEL-C03-050,888.48,BRL,2026-03-12T15:15:00Z,customer_request,refund_links_to_gateway_and_order
