payout_id,seller_id,payout_batch_id,amount,currency,payout_date,included_order_ids,scenario
PO-C03-000032,SEL-C03-032,PB-C03-0002,2227.13,BRL,2026-03-09,ORD-C03-000032|ORD-C03-000082|ORD-C03-000132,aggregate_payout_many_orders
PO-C03-000033,SEL-C03-033,PB-C03-0002,2964.09,BRL,2026-03-10,ORD-C03-000033|ORD-C03-000083|ORD-C03-000133,aggregate_payout_many_orders
PO-C03-000034,SEL-C03-034,PB-C03-0002,1551.51,BRL,2026-03-11,ORD-C03-000034|ORD-C03-000084|ORD-C03-000134,aggregate_payout_many_orders
PO-C03-000035,SEL-C03-035,PB-C03-0002,3360.57,BRL,2026-03-12,ORD-C03-000035|ORD-C03-000085|ORD-C03-000135,aggregate_payout_many_orders
PO-C03-000036,SEL-C03-036,PB-C03-0002,2827.87,BRL,2026-03-13,ORD-C03-000036|ORD-C03-000086|ORD-C03-000136,aggregate_payout_many_orders
PO-C03-000037,SEL-C03-037,PB-C03-0002,2231.15,BRL,2026-03-14,ORD-C03-000037|ORD-C03-000087|ORD-C03-000137,aggregate_payout_many_orders
PO-C03-000038,SEL-C03-038,PB-C03-0002,3220.33,BRL,2026-03-15,ORD-C03-000038|ORD-C03-000088|ORD-C03-000138,aggregate_payout_many_orders
PO-C03-000039,SEL-C03-039,PB-C03-0002,3321.53,BRL,2026-03-16,ORD-C03-000039|ORD-C03-000089|ORD-C03-000139,aggregate_payout_many_orders
PO-C03-000040,SEL-C03-040,PB-C03-0002,2500.58,BRL,2026-03-17,ORD-C03-000040|ORD-C03-000090|ORD-C03-000140,aggregate_payout_many_orders
PO-C03-000041,SEL-C03-041,PB-C03-0002,3076.43,BRL,2026-03-18,ORD-C03-000041|ORD-C03-000091|ORD-C03-000141,aggregate_payout_many_orders
PO-C03-000042,SEL-C03-042,PB-C03-0002,3679.54,BRL,2026-03-19,ORD-C03-000042|ORD-C03-000092|ORD-C03-000142,aggregate_payout_many_orders
PO-C03-000043,SEL-C03-043,PB-C03-0002,4356.95,BRL,2026-03-20,ORD-C03-000043|ORD-C03-000093|ORD-C03-000143,aggregate_payout_many_orders
PO-C03-000044,SEL-C03-044,PB-C03-0002,4009.61,BRL,2026-03-21,ORD-C03-000044|ORD-C03-000094|ORD-C03-000144,aggregate_payout_many_orders
PO-C03-000045,SEL-C03-045,PB-C03-0002,2449.03,BRL,2026-03-22,ORD-C03-000045|ORD-C03-000095|ORD-C03-000145,aggregate_payout_many_orders
PO-C03-000046,SEL-C03-046,PB-C03-0002,2402.28,BRL,2026-03-23,ORD-C03-000046|ORD-C03-000096|ORD-C03-000146,aggregate_payout_many_orders
PO-C03-000047,SEL-C03-047,PB-C03-0002,2964.59,BRL,2026-03-24,ORD-C03-000047|ORD-C03-000097|ORD-C03-000147,aggregate_payout_many_orders
PO-C03-000048,SEL-C03-048,PB-C03-0002,3122.47,USD,2026-03-25,ORD-C03-000048|ORD-C03-000098|ORD-C03-000148,aggregate_payout_many_orders
PO-C03-000049,SEL-C03-049,PB-C03-0002,3460.61,BRL,2026-03-26,ORD-C03-000049|ORD-C03-000099|ORD-C03-000149,aggregate_payout_many_orders
PO-C03-000050,SEL-C03-050,PB-C03-0002,2803.17,BRL,2026-03-27,ORD-C03-000050|ORD-C03-000100|ORD-C03-000150,aggregate_payout_many_orders
PO-C03-000051,SEL-C03-001,PB-C03-0003,1855.76,BRL,2026-04-04,ORD-C03-000151|ORD-C03-000201|ORD-C03-000251,aggregate_payout_many_orders
PO-C03-000052,SEL-C03-002,PB-C03-0003,2756.76,BRL,2026-04-05,ORD-C03-000152|ORD-C03-000202|ORD-C03-000252,aggregate_payout_many_orders
PO-C03-000053,SEL-C03-003,PB-C03-0003,1667.17,BRL,2026-04-06,ORD-C03-000153|ORD-C03-000203|ORD-C03-000253,aggregate_payout_many_orders
PO-C03-000054,SEL-C03-004,PB-C03-0003,3017.11,BRL,2026-04-07,ORD-C03-000154|ORD-C03-000204|ORD-C03-000254,aggregate_payout_many_orders
PO-C03-000055,SEL-C03-005,PB-C03-0003,4996.57,BRL,2026-03-08,ORD-C03-000155|ORD-C03-000205|ORD-C03-000255,aggregate_payout_many_orders
PO-C03-000056,SEL-C03-006,PB-C03-0003,3688.35,USD,2026-03-09,ORD-C03-000156|ORD-C03-000206|ORD-C03-000256,aggregate_payout_many_orders
PO-C03-000057,SEL-C03-007,PB-C03-0003,2765.49,BRL,2026-03-10,ORD-C03-000157|ORD-C03-000207|ORD-C03-000257,aggregate_payout_many_orders
PO-C03-000058,SEL-C03-008,PB-C03-0003,2186.55,BRL,2026-03-11,ORD-C03-000158|ORD-C03-000208|ORD-C03-000258,aggregate_payout_many_orders
PO-C03-000059,SEL-C03-009,PB-C03-0003,2486.02,BRL,2026-03-12,ORD-C03-000159|ORD-C03-000209|ORD-C03-000259,aggregate_payout_many_orders
PO-C03-000060,SEL-C03-010,PB-C03-0003,2970.20,BRL,2026-03-13,ORD-C03-000160|ORD-C03-000210|ORD-C03-000260,aggregate_payout_many_orders
PO-C03-000061,SEL-C03-011,PB-C03-0003,1940.40,BRL,2026-03-14,ORD-C03-000161|ORD-C03-000211|ORD-C03-000261,aggregate_payout_many_orders
PO-C03-000062,SEL-C03-012,PB-C03-0003,3043.44,BRL,2026-03-15,ORD-C03-000162|ORD-C03-000212|ORD-C03-000262,aggregate_payout_many_orders
PO-C03-000063,SEL-C03-013,PB-C03-0003,2706.66,BRL,2026-03-16,ORD-C03-000163|ORD-C03-000213|ORD-C03-000263,aggregate_payout_many_orders
PO-C03-000064,SEL-C03-014,PB-C03-0003,3186.36,BRL,2026-03-17,ORD-C03-000164|ORD-C03-000214|ORD-C03-000264,aggregate_payout_many_orders
PO-C03-000065,SEL-C03-015,PB-C03-0003,3688.03,BRL,2026-03-18,ORD-C03-000165|ORD-C03-000215|ORD-C03-000265,aggregate_payout_many_orders
PO-C03-000066,SEL-C03-016,PB-C03-0003,2269.87,BRL,2026-03-19,ORD-C03-000166|ORD-C03-000216|ORD-C03-000266,aggregate_payout_many_orders
PO-C03-000067,SEL-C03-017,PB-C03-0003,2892.05,BRL,2026-03-20,ORD-C03-000167|ORD-C03-000217|ORD-C03-000267,aggregate_payout_many_orders
PO-C03-000068,SEL-C03-018,PB-C03-0003,4131.80,EUR,2026-03-21,ORD-C03-000168|ORD-C03-000218|ORD-C03-000268,aggregate_payout_many_orders
PO-C03-000069,SEL-C03-019,PB-C03-0003,4087.38,BRL,2026-03-22,ORD-C03-000169|ORD-C03-000219|ORD-C03-000269,aggregate_payout_many_orders
PO-C03-000070,SEL-C03-020,PB-C03-0003,5175.33,BRL,2026-03-23,ORD-C03-000170|ORD-C03-000220|ORD-C03-000270,aggregate_payout_many_orders
PO-C03-000071,SEL-C03-021,PB-C03-0003,3458.11,BRL,2026-03-24,ORD-C03-000171|ORD-C03-000221|ORD-C03-000271,aggregate_payout_many_orders
PO-C03-000072,SEL-C03-022,PB-C03-0003,710.90,BRL,2026-03-25,ORD-C03-000172|ORD-C03-000222|ORD-C03-000272,aggregate_payout_many_orders
PO-C03-000073,SEL-C03-023,PB-C03-0003,2646.02,BRL,2026-03-26,ORD-C03-000173|ORD-C03-000223|ORD-C03-000273,aggregate_payout_many_orders
PO-C03-000074,SEL-C03-024,PB-C03-0003,1243.26,BRL,2026-03-27,ORD-C03-000174|ORD-C03-000224|ORD-C03-000274,aggregate_payout_many_orders
PO-C03-000075,SEL-C03-025,PB-C03-0003,2774.37,BRL,2026-03-28,ORD-C03-000175|ORD-C03-000225|ORD-C03-000275,aggregate_payout_many_orders
PO-C03-000076,SEL-C03-026,PB-C03-0004,3492.03,BRL,2026-03-29,ORD-C03-000176|ORD-C03-000226|ORD-C03-000276,aggregate_payout_many_orders
PO-C03-000077,SEL-C03-027,PB-C03-0004,3730.04,BRL,2026-03-30,ORD-C03-000177|ORD-C03-000227|ORD-C03-000277,aggregate_payout_many_orders
PO-C03-000078,SEL-C03-028,PB-C03-0004,1493.63,BRL,2026-03-31,ORD-C03-000178|ORD-C03-000228|ORD-C03-000278,aggregate_payout_many_orders
PO-C03-000079,SEL-C03-029,PB-C03-0004,1767.47,BRL,2026-04-01,ORD-C03-000179|ORD-C03-000229|ORD-C03-000279,aggregate_payout_many_orders
PO-C03-000080,SEL-C03-030,PB-C03-0004,3025.90,BRL,2026-04-02,ORD-C03-000180|ORD-C03-000230|ORD-C03-000280,aggregate_payout_many_orders
PO-C03-000081,SEL-C03-031,PB-C03-0004,3859.72,BRL,2026-04-03,ORD-C03-000181|ORD-C03-000231|ORD-C03-000281,aggregate_payout_many_orders
PO-C03-000082,SEL-C03-032,PB-C03-0004,4161.40,BRL,2026-04-04,ORD-C03-000182|ORD-C03-000232|ORD-C03-000282,aggregate_payout_many_orders
PO-C03-000083,SEL-C03-033,PB-C03-0004,3562.52,BRL,2026-04-05,ORD-C03-000183|ORD-C03-000233|ORD-C03-000283,aggregate_payout_many_orders
PO-C03-000084,SEL-C03-034,PB-C03-0004,1594.96,BRL,2026-04-06,ORD-C03-000184|ORD-C03-000234|ORD-C03-000284,aggregate_payout_many_orders
PO-C03-000085,SEL-C03-035,PB-C03-0004,1802.05,BRL,2026-04-07,ORD-C03-000185|ORD-C03-000235|ORD-C03-000285,aggregate_payout_many_orders
PO-C03-000086,SEL-C03-036,PB-C03-0004,2329.03,BRL,2026-03-08,ORD-C03-000186|ORD-C03-000236|ORD-C03-000286,aggregate_payout_many_orders
PO-C03-000087,SEL-C03-037,PB-C03-0004,4008.72,BRL,2026-03-09,ORD-C03-000187|ORD-C03-000237|ORD-C03-000287,aggregate_payout_many_orders
PO-C03-000088,SEL-C03-038,PB-C03-0004,4982.31,BRL,2026-03-10,ORD-C03-000188|ORD-C03-000238|ORD-C03-000288,aggregate_payout_many_orders
PO-C03-000089,SEL-C03-039,PB-C03-0004,3712.64,BRL,2026-03-11,ORD-C03-000189|ORD-C03-000239|ORD-C03-000289,aggregate_payout_many_orders
PO-C03-000090,SEL-C03-040,PB-C03-0004,5031.99,BRL,2026-03-12,ORD-C03-000190|ORD-C03-000240|ORD-C03-000290,aggregate_payout_many_orders
PO-C03-000091,SEL-C03-041,PB-C03-0004,4951.68,BRL,2026-03-13,ORD-C03-000191|ORD-C03-000241|ORD-C03-000291,aggregate_payout_many_orders
PO-C03-000092,SEL-C03-042,PB-C03-0004,4571.63,USD,2026-03-14,ORD-C03-000192|ORD-C03-000242|ORD-C03-000292,aggregate_payout_many_orders
PO-C03-000093,SEL-C03-043,PB-C03-0004,2834.14,BRL,2026-03-15,ORD-C03-000193|ORD-C03-000243|ORD-C03-000293,aggregate_payout_many_orders
PO-C03-000094,SEL-C03-044,PB-C03-0004,3609.87,BRL,2026-03-16,ORD-C03-000194|ORD-C03-000244|ORD-C03-000294,aggregate_payout_many_orders
PO-C03-000095,SEL-C03-045,PB-C03-0004,2642.17,BRL,2026-03-17,ORD-C03-000195|ORD-C03-000245|ORD-C03-000295,aggregate_payout_many_orders
PO-C03-000096,SEL-C03-046,PB-C03-0004,4129.03,BRL,2026-03-18,ORD-C03-000196|ORD-C03-000246|ORD-C03-000296,aggregate_payout_many_orders
PO-C03-000097,SEL-C03-047,PB-C03-0004,3038.91,BRL,2026-03-19,ORD-C03-000197|ORD-C03-000247|ORD-C03-000297,aggregate_payout_many_orders
PO-C03-000098,SEL-C03-048,PB-C03-0004,1038.01,BRL,2026-03-20,ORD-C03-000198|ORD-C03-000248|ORD-C03-000298,aggregate_payout_many_orders
PO-C03-000099,SEL-C03-049,PB-C03-0004,3761.04,BRL,2026-03-21,ORD-C03-000199|ORD-C03-000249|ORD-C03-000299,aggregate_payout_many_orders
PO-C03-000100,SEL-C03-050,PB-C03-0004,3870.02,BRL,2026-03-22,ORD-C03-000200|ORD-C03-000250|ORD-C03-000300,aggregate_payout_many_orders
PO-C03-000101,SEL-C03-001,PB-C03-0005,1146.34,BRL,2026-03-30,ORD-C03-000301|ORD-C03-000351|ORD-C03-000401,aggregate_payout_many_orders
PO-C03-000102,SEL-C03-002,PB-C03-0005,1842.93,BRL,2026-03-31,ORD-C03-000302|ORD-C03-000352|ORD-C03-000402,aggregate_payout_many_orders
PO-C03-000103,SEL-C03-003,PB-C03-0005,2901.23,BRL,2026-04-01,ORD-C03-000303|ORD-C03-000353|ORD-C03-000403,aggregate_payout_many_orders
PO-C03-000104,SEL-C03-004,PB-C03-0005,1841.04,BRL,2026-04-02,ORD-C03-000304|ORD-C03-000354|ORD-C03-000404,aggregate_payout_many_orders
PO-C03-000105,SEL-C03-005,PB-C03-0005,1291.07,BRL,2026-04-03,ORD-C03-000305|ORD-C03-000355|ORD-C03-000405,aggregate_payout_many_orders
PO-C03-000106,SEL-C03-006,PB-C03-0005,3919.68,BRL,2026-04-04,ORD-C03-000306|ORD-C03-000356|ORD-C03-000406,aggregate_payout_many_orders
PO-C03-000107,SEL-C03-007,PB-C03-0005,2892.52,BRL,2026-04-05,ORD-C03-000307|ORD-C03-000357|ORD-C03-000407,aggregate_payout_many_orders
PO-C03-000108,SEL-C03-008,PB-C03-0005,2524.56,BRL,2026-04-06,ORD-C03-000308|ORD-C03-000358|ORD-C03-000408,aggregate_payout_many_orders
PO-C03-000109,SEL-C03-009,PB-C03-0005,2498.87,BRL,2026-04-07,ORD-C03-000309|ORD-C03-000359|ORD-C03-000409,aggregate_payout_many_orders
PO-C03-000110,SEL-C03-010,PB-C03-0005,1972.18,BRL,2026-03-08,ORD-C03-000310|ORD-C03-000360|ORD-C03-000410,aggregate_payout_many_orders
PO-C03-000111,SEL-C03-011,PB-C03-0005,4292.34,BRL,2026-03-09,ORD-C03-000311|ORD-C03-000361|ORD-C03-000411,aggregate_payout_many_orders
PO-C03-000112,SEL-C03-012,PB-C03-0005,5217.06,EUR,2026-03-10,ORD-C03-000312|ORD-C03-000362|ORD-C03-000412,aggregate_payout_many_orders
PO-C03-000113,SEL-C03-013,PB-C03-0005,3818.50,BRL,2026-03-11,ORD-C03-000313|ORD-C03-000363|ORD-C03-000413,aggregate_payout_many_orders
PO-C03-000114,SEL-C03-014,PB-C03-0005,4467.51,BRL,2026-03-12,ORD-C03-000314|ORD-C03-000364|ORD-C03-000414,aggregate_payout_many_orders
PO-C03-000115,SEL-C03-015,PB-C03-0005,2763.65,BRL,2026-03-13,ORD-C03-000315|ORD-C03-000365|ORD-C03-000415,aggregate_payout_many_orders
PO-C03-000116,SEL-C03-016,PB-C03-0005,2590.73,BRL,2026-03-14,ORD-C03-000316|ORD-C03-000366|ORD-C03-000416,aggregate_payout_many_orders
PO-C03-000117,SEL-C03-017,PB-C03-0005,3485.05,BRL,2026-03-15,ORD-C03-000317|ORD-C03-000367|ORD-C03-000417,aggregate_payout_many_orders
PO-C03-000118,SEL-C03-018,PB-C03-0005,2128.97,BRL,2026-03-16,ORD-C03-000318|ORD-C03-000368|ORD-C03-000418,aggregate_payout_many_orders
PO-C03-000119,SEL-C03-019,PB-C03-0005,3165.97,BRL,2026-03-17,ORD-C03-000319|ORD-C03-000369|ORD-C03-000419,aggregate_payout_many_orders
PO-C03-000120,SEL-C03-020,PB-C03-0005,2824.28,BRL,2026-03-18,ORD-C03-000320|ORD-C03-000370|ORD-C03-000420,aggregate_payout_many_orders
PO-C03-000121,SEL-C03-021,PB-C03-0005,2480.73,BRL,2026-03-19,ORD-C03-000321|ORD-C03-000371|ORD-C03-000421,aggregate_payout_many_orders
PO-C03-000122,SEL-C03-022,PB-C03-0005,2443.68,BRL,2026-03-20,ORD-C03-000322|ORD-C03-000372|ORD-C03-000422,aggregate_payout_many_orders
PO-C03-000123,SEL-C03-023,PB-C03-0005,2332.20,BRL,2026-03-21,ORD-C03-000323|ORD-C03-000373|ORD-C03-000423,aggregate_payout_many_orders
PO-C03-000124,SEL-C03-024,PB-C03-0005,2939.26,BRL,2026-03-22,ORD-C03-000324|ORD-C03-000374|ORD-C03-000424,aggregate_payout_many_orders
PO-C03-000125,SEL-C03-025,PB-C03-0005,4055.07,BRL,2026-03-23,ORD-C03-000325|ORD-C03-000375|ORD-C03-000425,aggregate_payout_many_orders
PO-C03-000126,SEL-C03-026,PB-C03-0006,3745.82,BRL,2026-03-24,ORD-C03-000326|ORD-C03-000376|ORD-C03-000426,aggregate_payout_many_orders
PO-C03-000127,SEL-C03-027,PB-C03-0006,3143.71,BRL,2026-03-25,ORD-C03-000327|ORD-C03-000377|ORD-C03-000427,aggregate_payout_many_orders
PO-C03-000128,SEL-C03-028,PB-C03-0006,3491.74,BRL,2026-03-26,ORD-C03-000328|ORD-C03-000378|ORD-C03-000428,aggregate_payout_many_orders
PO-C03-000129,SEL-C03-029,PB-C03-0006,3418.24,BRL,2026-03-27,ORD-C03-000329|ORD-C03-000379|ORD-C03-000429,aggregate_payout_many_orders
PO-C03-000130,SEL-C03-030,PB-C03-0006,3251.53,BRL,2026-03-28,ORD-C03-000330|ORD-C03-000380|ORD-C03-000430,aggregate_payout_many_orders
PO-C03-000131,SEL-C03-031,PB-C03-0006,3901.47,BRL,2026-03-29,ORD-C03-000331|ORD-C03-000381|ORD-C03-000431,aggregate_payout_many_orders
PO-C03-000132,SEL-C03-032,PB-C03-0006,4005.45,BRL,2026-03-30,ORD-C03-000332|ORD-C03-000382|ORD-C03-000432,aggregate_payout_many_orders
PO-C03-000133,SEL-C03-033,PB-C03-0006,3919.94,BRL,2026-03-31,ORD-C03-000333|ORD-C03-000383|ORD-C03-000433,aggregate_payout_many_orders
PO-C03-000134,SEL-C03-034,PB-C03-0006,4051.53,BRL,2026-04-01,ORD-C03-000334|ORD-C03-000384|ORD-C03-000434,aggregate_payout_many_orders
PO-C03-000135,SEL-C03-035,PB-C03-0006,5374.86,BRL,2026-04-02,ORD-C03-000335|ORD-C03-000385|ORD-C03-000435,aggregate_payout_many_orders
PO-C03-000136,SEL-C03-036,PB-C03-0006,1477.87,USD,2026-04-03,ORD-C03-000336|ORD-C03-000386|ORD-C03-000436,aggregate_payout_many_orders
PO-C03-000137,SEL-C03-037,PB-C03-0006,4220.31,BRL,2026-04-04,ORD-C03-000337|ORD-C03-000387|ORD-C03-000437,aggregate_payout_many_orders
PO-C03-000138,SEL-C03-038,PB-C03-0006,2487.25,BRL,2026-04-05,ORD-C03-000338|ORD-C03-000388|ORD-C03-000438,aggregate_payout_many_orders
PO-C03-000139,SEL-C03-039,PB-C03-0006,4478.70,BRL,2026-04-06,ORD-C03-000339|ORD-C03-000389|ORD-C03-000439,aggregate_payout_many_orders
PO-C03-000140,SEL-C03-040,PB-C03-0006,3045.76,BRL,2026-04-07,ORD-C03-000340|ORD-C03-000390|ORD-C03-000440,aggregate_payout_many_orders
PO-C03-000141,SEL-C03-041,PB-C03-0006,2150.14,BRL,2026-03-08,ORD-C03-000341|ORD-C03-000391|ORD-C03-000441,aggregate_payout_many_orders
PO-C03-000142,SEL-C03-042,PB-C03-0006,2507.08,BRL,2026-03-09,ORD-C03-000342|ORD-C03-000392|ORD-C03-000442,aggregate_payout_many_orders
PO-C03-000143,SEL-C03-043,PB-C03-0006,4713.08,BRL,2026-03-10,ORD-C03-000343|ORD-C03-000393|ORD-C03-000443,aggregate_payout_many_orders
PO-C03-000144,SEL-C03-044,PB-C03-0006,3203.99,BRL,2026-03-11,ORD-C03-000344|ORD-C03-000394|ORD-C03-000444,aggregate_payout_many_orders
PO-C03-000145,SEL-C03-045,PB-C03-0006,2223.79,BRL,2026-03-12,ORD-C03-000345|ORD-C03-000395|ORD-C03-000445,aggregate_payout_many_orders
PO-C03-000146,SEL-C03-046,PB-C03-0006,5215.58,BRL,2026-03-13,ORD-C03-000346|ORD-C03-000396|ORD-C03-000446,aggregate_payout_many_orders
PO-C03-000147,SEL-C03-047,PB-C03-0006,3032.50,BRL,2026-03-14,ORD-C03-000347|ORD-C03-000397|ORD-C03-000447,aggregate_payout_many_orders
PO-C03-000148,SEL-C03-048,PB-C03-0006,732.01,EUR,2026-03-15,ORD-C03-000348|ORD-C03-000398|ORD-C03-000448,aggregate_payout_many_orders
PO-C03-000149,SEL-C03-049,PB-C03-0006,4597.17,BRL,2026-03-16,ORD-C03-000349|ORD-C03-000399|ORD-C03-000449,aggregate_payout_many_orders
PO-C03-000150,SEL-C03-050,PB-C03-0006,2531.39,BRL,2026-03-17,ORD-C03-000350|ORD-C03-000400|ORD-C03-000450,aggregate_payout_many_orders
PO-C03-000151,SEL-C03-001,PB-C03-0007,3845.45,BRL,2026-03-25,ORD-C03-000451|ORD-C03-000501|ORD-C03-000551,aggregate_payout_many_orders
PO-C03-000152,SEL-C03-002,PB-C03-0007,5272.30,BRL,2026-03-26,ORD-C03-000452|ORD-C03-000502|ORD-C03-000552,aggregate_payout_many_orders
PO-C03-000153,SEL-C03-003,PB-C03-0007,2579.54,BRL,2026-03-27,ORD-C03-000453|ORD-C03-000503|ORD-C03-000553,aggregate_payout_many_orders
PO-C03-000154,SEL-C03-004,PB-C03-0007,4360.06,BRL,2026-03-28,ORD-C03-000454|ORD-C03-000504|ORD-C03-000554,aggregate_payout_many_orders
PO-C03-000155,SEL-C03-005,PB-C03-0007,2244.20,BRL,2026-03-29,ORD-C03-000455|ORD-C03-000505|ORD-C03-000555,aggregate_payout_many_orders
PO-C03-000156,SEL-C03-006,PB-C03-0007,2271.71,EUR,2026-03-30,ORD-C03-000456|ORD-C03-000506|ORD-C03-000556,aggregate_payout_many_orders
PO-C03-000157,SEL-C03-007,PB-C03-0007,2419.37,BRL,2026-03-31,ORD-C03-000457|ORD-C03-000507|ORD-C03-000557,aggregate_payout_many_orders
PO-C03-000158,SEL-C03-008,PB-C03-0007,3254.68,BRL,2026-04-01,ORD-C03-000458|ORD-C03-000508|ORD-C03-000558,aggregate_payout_many_orders
PO-C03-000159,SEL-C03-009,PB-C03-0007,4354.72,BRL,2026-04-02,ORD-C03-000459|ORD-C03-000509|ORD-C03-000559,aggregate_payout_many_orders
PO-C03-000160,SEL-C03-010,PB-C03-0007,2483.90,BRL,2026-04-03,ORD-C03-000460|ORD-C03-000510|ORD-C03-000560,aggregate_payout_many_orders
PO-C03-000161,SEL-C03-011,PB-C03-0007,2926.01,BRL,2026-04-04,ORD-C03-000461|ORD-C03-000511|ORD-C03-000561,aggregate_payout_many_orders
