ledger_tx_id,order_id,amount,currency,occurred_at,description,merchant_id,authorization_code,scenario
LED-C01-000060,ORD-C01-000060,550.39,EUR,2026-01-30T10:00:00Z,Card sale for synthetic order ORD-C01-000060,MRC-C01-013,AUTH-C01-000060,ledger_sale_candidate
LED-C01-000061,ORD-C01-000061,23.11,BRL,2026-01-31T10:11:00Z,Card sale for synthetic order ORD-C01-000061,MRC-C01-014,AUTH-C01-000061,ledger_sale_candidate
LED-C01-000062,ORD-C01-000062,240.75,BRL,2026-02-01T10:22:00Z,Card sale for synthetic order ORD-C01-000062,MRC-C01-015,AUTH-C01-000062,ledger_sale_candidate
LED-C01-000063,ORD-C01-000063,171.86,BRL,2026-02-02T10:33:00Z,Card sale for synthetic order ORD-C01-000063,MRC-C01-016,AUTH-C01-000063,ledger_sale_candidate
LED-C01-000064,ORD-C01-000064,371.70,BRL,2026-02-03T10:44:00Z,Card sale for synthetic order ORD-C01-000064,MRC-C01-017,AUTH-C01-000064,ledger_sale_candidate
LED-C01-000065,ORD-C01-000065,466.28,BRL,2026-02-04T10:55:00Z,Card sale for synthetic order ORD-C01-000065,MRC-C01-018,AUTH-C01-000065,ledger_sale_candidate
LED-C01-000066,ORD-C01-000066,292.06,BRL,2026-02-05T11:06:00Z,Card sale for synthetic order ORD-C01-000066,MRC-C01-019,AUTH-C01-000066,ledger_sale_candidate
LED-C01-000067,ORD-C01-000067,1310.57,BRL,2026-02-06T11:17:00Z,Card sale for synthetic order ORD-C01-000067,MRC-C01-020,AUTH-C01-000067,ledger_sale_candidate
LED-C01-000068,ORD-C01-000068,152.88,BRL,2026-02-07T11:28:00Z,Card sale for synthetic order ORD-C01-000068,MRC-C01-021,AUTH-C01-000068,ledger_sale_candidate
LED-C01-000069,ORD-C01-000069,1530.39,BRL,2026-02-08T11:39:00Z,Card sale for synthetic order ORD-C01-000069,MRC-C01-022,AUTH-C01-000069,ledger_sale_candidate
LED-C01-000070,ORD-C01-000070,1097.64,BRL,2026-01-05T11:50:00Z,Card sale for synthetic order ORD-C01-000070,MRC-C01-023,AUTH-C01-000070,ledger_sale_candidate
LED-C01-000071,ORD-C01-000071,1267.17,BRL,2026-01-06T12:01:00Z,Card sale for synthetic order ORD-C01-000071,MRC-C01-024,AUTH-C01-000071,ledger_sale_candidate
LED-C01-000072,ORD-C01-000072,524.96,BRL,2026-01-07T10:00:00Z,Card sale for synthetic order ORD-C01-000072,MRC-C01-001,AUTH-C01-000072,ledger_sale_candidate
LED-C01-000073,ORD-C01-000073,878.80,BRL,2026-01-08T10:11:00Z,Card sale for synthetic order ORD-C01-000073,MRC-C01-002,AUTH-C01-000073,ledger_sale_candidate
LED-C01-000074,ORD-C01-000074,1252.73,BRL,2026-01-09T10:22:00Z,Card sale for synthetic order ORD-C01-000074,MRC-C01-003,AUTH-C01-000074,ledger_sale_candidate
LED-C01-000075,ORD-C01-000075,1681.69,BRL,2026-01-10T10:33:00Z,Card sale for synthetic order ORD-C01-000075,MRC-C01-004,AUTH-C01-000075,ledger_sale_candidate
LED-C01-000076,ORD-C01-000076,1242.21,BRL,2026-01-11T10:44:00Z,Card sale for synthetic order ORD-C01-000076,MRC-C01-005,AUTH-C01-000076,ledger_sale_candidate
LED-C01-000077,ORD-C01-000077,715.31,BRL,2026-01-12T10:55:00Z,Card sale for synthetic order ORD-C01-000077,MRC-C01-006,AUTH-C01-000077,ledger_sale_candidate
LED-C01-000078,ORD-C01-000078,541.13,BRL,2026-01-13T11:06:00Z,Card sale for synthetic order ORD-C01-000078,MRC-C01-007,AUTH-C01-000078,ledger_sale_candidate
LED-C01-000079,ORD-C01-000079,225.38,BRL,2026-01-14T11:17:00Z,Card sale for synthetic order ORD-C01-000079,MRC-C01-008,AUTH-C01-000079,ledger_sale_candidate
LED-C01-000080,ORD-C01-000080,693.33,BRL,2026-01-15T11:28:00Z,Card sale for synthetic order ORD-C01-000080,MRC-C01-009,AUTH-C01-000080,ledger_sale_candidate
LED-C01-000081,ORD-C01-000081,1660.03,BRL,2026-01-16T11:39:00Z,Card sale for synthetic order ORD-C01-000081,MRC-C01-010,AUTH-C01-000081,ledger_sale_candidate
LED-C01-000082,ORD-C01-000082,46.28,BRL,2026-01-17T11:50:00Z,Card sale for synthetic order ORD-C01-000082,MRC-C01-011,AUTH-C01-000082,ledger_sale_candidate
LED-C01-000083,ORD-C01-000083,1367.20,BRL,2026-01-18T12:01:00Z,Card sale for synthetic order ORD-C01-000083,MRC-C01-012,AUTH-C01-000083,ledger_sale_candidate
LED-C01-000084,ORD-C01-000084,473.69,USD,2026-01-19T10:00:00Z,Card sale for synthetic order ORD-C01-000084,MRC-C01-013,AUTH-C01-000084,ledger_sale_candidate
LED-C01-000085,ORD-C01-000085,1192.63,BRL,2026-01-20T10:11:00Z,Card sale for synthetic order ORD-C01-000085,MRC-C01-014,AUTH-C01-000085,ledger_sale_candidate
LED-C01-000086,ORD-C01-000086,26.24,BRL,2026-01-21T10:22:00Z,Card sale for synthetic order ORD-C01-000086,MRC-C01-015,AUTH-C01-000086,ledger_sale_candidate
LED-C01-000087,ORD-C01-000087,843.78,BRL,2026-01-22T10:33:00Z,Card sale for synthetic order ORD-C01-000087,MRC-C01-016,AUTH-C01-000087,ledger_sale_candidate
LED-C01-000088,ORD-C01-000088,446.04,BRL,2026-01-23T10:44:00Z,Card sale for synthetic order ORD-C01-000088,MRC-C01-017,AUTH-C01-000088,ledger_sale_candidate
LED-C01-000089,ORD-C01-000089,1414.82,BRL,2026-01-24T10:55:00Z,Card sale for synthetic order ORD-C01-000089,MRC-C01-018,AUTH-C01-000089,ledger_sale_candidate
LED-C01-000090,ORD-C01-000090,815.63,BRL,2026-01-25T11:06:00Z,Card sale for synthetic order ORD-C01-000090,MRC-C01-019,AUTH-C01-000090,ledger_sale_candidate
LED-C01-000091,ORD-C01-000091,905.23,BRL,2026-01-26T11:17:00Z,Card sale for synthetic order ORD-C01-000091,MRC-C01-020,AUTH-C01-000091,ledger_sale_candidate
LED-C01-000092,ORD-C01-000092,1480.88,BRL,2026-01-27T11:28:00Z,Card sale for synthetic order ORD-C01-000092,MRC-C01-021,AUTH-C01-000092,ledger_sale_candidate
LED-C01-000093,ORD-C01-000093,775.50,BRL,2026-01-28T11:39:00Z,Card sale for synthetic order ORD-C01-000093,MRC-C01-022,AUTH-C01-000093,ledger_sale_candidate
LED-C01-000094,ORD-C01-000094,1701.18,BRL,2026-01-29T11:50:00Z,Card sale for synthetic order ORD-C01-000094,MRC-C01-023,AUTH-C01-000094,ledger_sale_candidate
LED-C01-000095,ORD-C01-000095,1157.30,BRL,2026-01-30T12:01:00Z,Card sale for synthetic order ORD-C01-000095,MRC-C01-024,AUTH-C01-000095,ledger_sale_candidate
LED-C01-000096,ORD-C01-000096,752.17,EUR,2026-01-31T10:00:00Z,Card sale for synthetic order ORD-C01-000096,MRC-C01-001,AUTH-C01-000096,ledger_sale_candidate
LED-C01-000097,ORD-C01-000097,1469.87,BRL,2026-02-01T10:11:00Z,Card sale for synthetic order ORD-C01-000097,MRC-C01-002,AUTH-C01-000097,ledger_sale_candidate
LED-C01-000098,ORD-C01-000098,540.48,BRL,2026-02-02T10:22:00Z,Card sale for synthetic order ORD-C01-000098,MRC-C01-003,AUTH-C01-000098,ledger_sale_candidate
LED-C01-000099,ORD-C01-000099,499.87,BRL,2026-02-03T10:33:00Z,Card sale for synthetic order ORD-C01-000099,MRC-C01-004,AUTH-C01-000099,ledger_sale_candidate
LED-C01-000100,ORD-C01-000100,1579.95,BRL,2026-02-04T10:44:00Z,Card sale for synthetic order ORD-C01-000100,MRC-C01-005,AUTH-C01-000100,ledger_sale_candidate
LED-C01-000101,ORD-C01-000101,1753.26,BRL,2026-02-05T10:55:00Z,Card sale for synthetic order ORD-C01-000101,MRC-C01-006,AUTH-C01-000101,ledger_sale_candidate
LED-C01-000102,ORD-C01-000102,1729.13,BRL,2026-02-06T11:06:00Z,Card sale for synthetic order ORD-C01-000102,MRC-C01-007,AUTH-C01-000102,ledger_sale_candidate
LED-C01-000103,ORD-C01-000103,161.49,BRL,2026-02-07T11:17:00Z,Card sale for synthetic order ORD-C01-000103,MRC-C01-008,AUTH-C01-000103,ledger_sale_candidate
LED-C01-000104,ORD-C01-000104,384.19,BRL,2026-02-08T11:28:00Z,Card sale for synthetic order ORD-C01-000104,MRC-C01-009,AUTH-C01-000104,ledger_sale_candidate
LED-C01-000105,ORD-C01-000105,256.58,BRL,2026-01-05T11:39:00Z,Card sale for synthetic order ORD-C01-000105,MRC-C01-010,AUTH-C01-000105,ledger_sale_candidate
LED-C01-000106,ORD-C01-000106,1415.09,BRL,2026-01-06T11:50:00Z,Card sale for synthetic order ORD-C01-000106,MRC-C01-011,AUTH-C01-000106,ledger_sale_candidate
LED-C01-000107,ORD-C01-000107,186.27,BRL,2026-01-07T12:01:00Z,Card sale for synthetic order ORD-C01-000107,MRC-C01-012,AUTH-C01-000107,ledger_sale_candidate
LED-C01-000108,ORD-C01-000108,503.50,BRL,2026-01-08T10:00:00Z,Card sale for synthetic order ORD-C01-000108,MRC-C01-013,AUTH-C01-000108,ledger_sale_candidate
LED-C01-000109,ORD-C01-000109,297.55,BRL,2026-01-09T10:11:00Z,Card sale for synthetic order ORD-C01-000109,MRC-C01-014,AUTH-C01-000109,ledger_sale_candidate
LED-C01-000110,ORD-C01-000110,1127.12,BRL,2026-01-10T10:22:00Z,Card sale for synthetic order ORD-C01-000110,MRC-C01-015,AUTH-C01-000110,ledger_sale_candidate
LED-C01-000111,ORD-C01-000111,1139.33,BRL,2026-01-11T10:33:00Z,Card sale for synthetic order ORD-C01-000111,MRC-C01-016,AUTH-C01-000111,ledger_sale_candidate
LED-C01-000112,ORD-C01-000112,476.51,BRL,2026-01-12T10:44:00Z,Card sale for synthetic order ORD-C01-000112,MRC-C01-017,AUTH-C01-000112,ledger_sale_candidate
LED-C01-000113,ORD-C01-000113,439.58,BRL,2026-01-13T10:55:00Z,Card sale for synthetic order ORD-C01-000113,MRC-C01-018,AUTH-C01-000113,ledger_sale_candidate
LED-C01-000114,ORD-C01-000114,43.19,BRL,2026-01-14T11:06:00Z,Card sale for synthetic order ORD-C01-000114,MRC-C01-019,AUTH-C01-000114,ledger_sale_candidate
LED-C01-000115,ORD-C01-000115,721.32,BRL,2026-01-15T11:17:00Z,Card sale for synthetic order ORD-C01-000115,MRC-C01-020,AUTH-C01-000115,ledger_sale_candidate
LED-C01-000116,ORD-C01-000116,1170.15,BRL,2026-01-16T11:28:00Z,Card sale for synthetic order ORD-C01-000116,MRC-C01-021,AUTH-C01-000116,ledger_sale_candidate
LED-C01-000117,ORD-C01-000117,1458.59,BRL,2026-01-17T11:39:00Z,Card sale for synthetic order ORD-C01-000117,MRC-C01-022,AUTH-C01-000117,ledger_sale_candidate
LED-C01-000118,ORD-C01-000118,607.27,BRL,2026-01-18T11:50:00Z,Card sale for synthetic order ORD-C01-000118,MRC-C01-023,AUTH-C01-000118,ledger_sale_candidate
LED-C01-000119,ORD-C01-000119,268.67,BRL,2026-01-19T12:01:00Z,Card sale for synthetic order ORD-C01-000119,MRC-C01-024,AUTH-C01-000119,ledger_sale_candidate
LED-C01-000120,ORD-C01-000120,357.93,USD,2026-01-20T10:00:00Z,Card sale for synthetic order ORD-C01-000120,MRC-C01-001,AUTH-C01-000120,ledger_sale_candidate
LED-C01-000121,ORD-C01-000121,282.62,BRL,2026-01-21T10:11:00Z,Card sale for synthetic order ORD-C01-000121,MRC-C01-002,AUTH-C01-000121,ledger_sale_candidate
LED-C01-000122,ORD-C01-000122,45.08,BRL,2026-01-22T10:22:00Z,Card sale for synthetic order ORD-C01-000122,MRC-C01-003,AUTH-C01-000122,ledger_sale_candidate
LED-C01-000123,ORD-C01-000123,1216.54,BRL,2026-01-23T10:33:00Z,Card sale for synthetic order ORD-C01-000123,MRC-C01-004,AUTH-C01-000123,ledger_sale_candidate
LED-C01-000124,ORD-C01-000124,1805.37,BRL,2026-01-24T10:44:00Z,Card sale for synthetic order ORD-C01-000124,MRC-C01-005,AUTH-C01-000124,ledger_sale_candidate
LED-C01-000125,ORD-C01-000125,267.57,BRL,2026-01-25T10:55:00Z,Card sale for synthetic order ORD-C01-000125,MRC-C01-006,AUTH-C01-000125,ledger_sale_candidate
LED-C01-000126,ORD-C01-000126,298.85,BRL,2026-01-26T11:06:00Z,Card sale for synthetic order ORD-C01-000126,MRC-C01-007,AUTH-C01-000126,ledger_sale_candidate
LED-C01-000127,ORD-C01-000127,740.22,BRL,2026-01-27T11:17:00Z,Card sale for synthetic order ORD-C01-000127,MRC-C01-008,AUTH-C01-000127,ledger_sale_candidate
LED-C01-000128,ORD-C01-000128,1653.65,BRL,2026-01-28T11:28:00Z,Card sale for synthetic order ORD-C01-000128,MRC-C01-009,AUTH-C01-000128,ledger_sale_candidate
LED-C01-000129,ORD-C01-000129,1799.54,BRL,2026-01-29T11:39:00Z,Card sale for synthetic order ORD-C01-000129,MRC-C01-010,AUTH-C01-000129,ledger_sale_candidate
LED-C01-000130,ORD-C01-000130,710.19,BRL,2026-01-30T11:50:00Z,Card sale for synthetic order ORD-C01-000130,MRC-C01-011,AUTH-C01-000130,ledger_sale_candidate
LED-C01-000131,ORD-C01-000131,1845.01,BRL,2026-01-31T12:01:00Z,Card sale for synthetic order ORD-C01-000131,MRC-C01-012,AUTH-C01-000131,ledger_sale_candidate
LED-C01-000132,ORD-C01-000132,762.75,EUR,2026-02-01T10:00:00Z,Card sale for synthetic order ORD-C01-000132,MRC-C01-013,AUTH-C01-000132,ledger_sale_candidate
LED-C01-000133,ORD-C01-000133,1638.80,BRL,2026-02-02T10:11:00Z,Card sale for synthetic order ORD-C01-000133,MRC-C01-014,AUTH-C01-000133,ledger_sale_candidate
LED-C01-000134,ORD-C01-000134,1616.81,BRL,2026-02-03T10:22:00Z,Card sale for synthetic order ORD-C01-000134,MRC-C01-015,AUTH-C01-000134,ledger_sale_candidate
LED-C01-000135,ORD-C01-000135,1817.48,BRL,2026-02-04T10:33:00Z,Card sale for synthetic order ORD-C01-000135,MRC-C01-016,AUTH-C01-000135,ledger_sale_candidate
LED-C01-000136,ORD-C01-000136,164.31,BRL,2026-02-05T10:44:00Z,Card sale for synthetic order ORD-C01-000136,MRC-C01-017,AUTH-C01-000136,ledger_sale_candidate
LED-C01-000137,ORD-C01-000137,1351.28,BRL,2026-02-06T10:55:00Z,Card sale for synthetic order ORD-C01-000137,MRC-C01-018,AUTH-C01-000137,ledger_sale_candidate
LED-C01-000138,ORD-C01-000138,944.27,BRL,2026-02-07T11:06:00Z,Card sale for synthetic order ORD-C01-000138,MRC-C01-019,AUTH-C01-000138,ledger_sale_candidate
LED-C01-000139,ORD-C01-000139,594.49,BRL,2026-02-08T11:17:00Z,Card sale for synthetic order ORD-C01-000139,MRC-C01-020,AUTH-C01-000139,ledger_sale_candidate
LED-C01-000140,ORD-C01-000140,1726.85,BRL,2026-01-05T11:28:00Z,Card sale for synthetic order ORD-C01-000140,MRC-C01-021,AUTH-C01-000140,ledger_sale_candidate
LED-C01-000141,ORD-C01-000141,1030.66,BRL,2026-01-06T11:39:00Z,Card sale for synthetic order ORD-C01-000141,MRC-C01-022,AUTH-C01-000141,ledger_sale_candidate
LED-C01-000142,ORD-C01-000142,1310.79,BRL,2026-01-07T11:50:00Z,Card sale for synthetic order ORD-C01-000142,MRC-C01-023,AUTH-C01-000142,ledger_sale_candidate
LED-C01-000143,ORD-C01-000143,1812.73,BRL,2026-01-08T12:01:00Z,Card sale for synthetic order ORD-C01-000143,MRC-C01-024,AUTH-C01-000143,ledger_sale_candidate
LED-C01-000144,ORD-C01-000144,934.44,BRL,2026-01-09T10:00:00Z,Card sale for synthetic order ORD-C01-000144,MRC-C01-001,AUTH-C01-000144,ledger_sale_candidate
LED-C01-000145,ORD-C01-000145,388.17,BRL,2026-01-10T10:11:00Z,Card sale for synthetic order ORD-C01-000145,MRC-C01-002,AUTH-C01-000145,ledger_sale_candidate
LED-C01-000146,ORD-C01-000146,919.79,BRL,2026-01-11T10:22:00Z,Card sale for synthetic order ORD-C01-000146,MRC-C01-003,AUTH-C01-000146,ledger_sale_candidate
LED-C01-000147,ORD-C01-000147,975.27,BRL,2026-01-12T10:33:00Z,Card sale for synthetic order ORD-C01-000147,MRC-C01-004,AUTH-C01-000147,ledger_sale_candidate
LED-C01-000148,ORD-C01-000148,834.83,BRL,2026-01-13T10:44:00Z,Card sale for synthetic order ORD-C01-000148,MRC-C01-005,AUTH-C01-000148,ledger_sale_candidate
