adjustment_id,reference,end_to_end_id,amount,currency,adjustment_date,reason,scenario
ADJ-C02-000024,REF-C02-000024,E2E-C02-000000024,1.84,EUR,2026-02-28,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000025,REF-C02-000025,E2E-C02-000000025,1.96,BRL,2026-03-01,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000026,REF-C02-000026,E2E-C02-000000026,2.08,BRL,2026-03-02,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000027,REF-C02-000027,E2E-C02-000000027,2.20,BRL,2026-03-03,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000028,REF-C02-000028,E2E-C02-000000028,2.32,BRL,2026-03-04,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000029,REF-C02-000029,E2E-C02-000000029,2.44,BRL,2026-03-05,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000030,REF-C02-000030,E2E-C02-000000030,2.56,BRL,2026-03-06,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000031,REF-C02-000031,E2E-C02-000000031,2.68,BRL,2026-03-07,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000032,REF-C02-000032,E2E-C02-000000032,2.80,BRL,2026-03-08,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000033,REF-C02-000033,E2E-C02-000000033,2.92,BRL,2026-03-09,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000034,REF-C02-000034,E2E-C02-000000034,1.00,BRL,2026-03-10,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000035,REF-C02-000035,E2E-C02-000000035,1.12,BRL,2026-03-11,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000036,REF-C02-000036,E2E-C02-000000036,1.24,BRL,2026-03-12,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000037,REF-C02-000037,E2E-C02-000000037,1.36,BRL,2026-03-13,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000038,REF-C02-000038,E2E-C02-000000038,1.48,BRL,2026-03-14,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000039,REF-C02-000039,E2E-C02-000000039,1.60,BRL,2026-03-15,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000040,REF-C02-000040,E2E-C02-000000040,1.72,BRL,2026-03-16,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000041,REF-C02-000041,E2E-C02-000000041,1.84,BRL,2026-03-17,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000042,REF-C02-000042,E2E-C02-000000042,1.96,BRL,2026-02-04,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000043,REF-C02-000043,E2E-C02-000000043,2.08,BRL,2026-02-05,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000044,REF-C02-000044,E2E-C02-000000044,2.20,BRL,2026-02-06,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000045,REF-C02-000045,E2E-C02-000000045,2.32,BRL,2026-02-07,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000046,REF-C02-000046,E2E-C02-000000046,2.44,BRL,2026-02-08,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000047,REF-C02-000047,E2E-C02-000000047,2.56,BRL,2026-02-09,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000048,REF-C02-000048,E2E-C02-000000048,2.68,USD,2026-02-10,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000049,REF-C02-000049,E2E-C02-000000049,2.80,BRL,2026-02-11,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000050,REF-C02-000050,E2E-C02-000000050,2.92,BRL,2026-02-12,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000051,REF-C02-000051,E2E-C02-000000051,1.00,BRL,2026-02-13,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000052,REF-C02-000052,E2E-C02-000000052,1.12,BRL,2026-02-14,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000053,REF-C02-000053,E2E-C02-000000053,1.24,BRL,2026-02-15,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000054,REF-C02-000054,E2E-C02-000000054,1.36,BRL,2026-02-16,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000055,REF-C02-000055,E2E-C02-000000055,1.48,BRL,2026-02-17,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000056,REF-C02-000056,E2E-C02-000000056,1.60,BRL,2026-02-18,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000057,REF-C02-000057,E2E-C02-000000057,1.72,BRL,2026-02-19,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000058,REF-C02-000058,E2E-C02-000000058,1.84,BRL,2026-02-20,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000059,REF-C02-000059,E2E-C02-000000059,1.96,BRL,2026-02-21,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000060,REF-C02-000060,E2E-C02-000000060,2.08,EUR,2026-02-22,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000061,REF-C02-000061,E2E-C02-000000061,2.20,BRL,2026-02-23,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000062,REF-C02-000062,E2E-C02-000000062,2.32,BRL,2026-02-24,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000063,REF-C02-000063,E2E-C02-000000063,2.44,BRL,2026-02-25,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000064,REF-C02-000064,E2E-C02-000000064,2.56,BRL,2026-02-26,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000065,REF-C02-000065,E2E-C02-000000065,2.68,BRL,2026-02-27,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000066,REF-C02-000066,E2E-C02-000000066,2.80,BRL,2026-02-28,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000067,REF-C02-000067,E2E-C02-000000067,2.92,BRL,2026-03-01,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000068,REF-C02-000068,E2E-C02-000000068,1.00,BRL,2026-03-02,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000069,REF-C02-000069,E2E-C02-000000069,1.12,BRL,2026-03-03,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000070,REF-C02-000070,E2E-C02-000000070,1.24,BRL,2026-03-04,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000071,REF-C02-000071,E2E-C02-000000071,1.36,BRL,2026-03-05,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000072,REF-C02-000072,E2E-C02-000000072,1.48,BRL,2026-03-06,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000073,REF-C02-000073,E2E-C02-000000073,1.60,BRL,2026-03-07,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000074,REF-C02-000074,E2E-C02-000000074,1.72,BRL,2026-03-08,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000075,REF-C02-000075,E2E-C02-000000075,1.84,BRL,2026-03-09,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000076,REF-C02-000076,E2E-C02-000000076,1.96,BRL,2026-03-10,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000077,REF-C02-000077,E2E-C02-000000077,2.08,BRL,2026-03-11,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000078,REF-C02-000078,E2E-C02-000000078,2.20,BRL,2026-03-12,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000079,REF-C02-000079,E2E-C02-000000079,2.32,BRL,2026-03-13,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000080,REF-C02-000080,E2E-C02-000000080,2.44,BRL,2026-03-14,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000081,REF-C02-000081,E2E-C02-000000081,2.56,BRL,2026-03-15,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000082,REF-C02-000082,E2E-C02-000000082,2.68,BRL,2026-03-16,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000083,REF-C02-000083,E2E-C02-000000083,2.80,BRL,2026-03-17,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000084,REF-C02-000084,E2E-C02-000000084,2.92,USD,2026-02-04,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000085,REF-C02-000085,E2E-C02-000000085,1.00,BRL,2026-02-05,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000086,REF-C02-000086,E2E-C02-000000086,1.12,BRL,2026-02-06,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000087,REF-C02-000087,E2E-C02-000000087,1.24,BRL,2026-02-07,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000088,REF-C02-000088,E2E-C02-000000088,1.36,BRL,2026-02-08,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000089,REF-C02-000089,E2E-C02-000000089,1.48,BRL,2026-02-09,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000090,REF-C02-000090,E2E-C02-000000090,1.60,BRL,2026-02-10,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000091,REF-C02-000091,E2E-C02-000000091,1.72,BRL,2026-02-11,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000092,REF-C02-000092,E2E-C02-000000092,1.84,BRL,2026-02-12,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000093,REF-C02-000093,E2E-C02-000000093,1.96,BRL,2026-02-13,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000094,REF-C02-000094,E2E-C02-000000094,2.08,BRL,2026-02-14,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000095,REF-C02-000095,E2E-C02-000000095,2.20,BRL,2026-02-15,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000096,REF-C02-000096,E2E-C02-000000096,2.32,EUR,2026-02-16,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000097,REF-C02-000097,E2E-C02-000000097,2.44,BRL,2026-02-17,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000098,REF-C02-000098,E2E-C02-000000098,2.56,BRL,2026-02-18,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000099,REF-C02-000099,E2E-C02-000000099,2.68,BRL,2026-02-19,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000100,REF-C02-000100,E2E-C02-000000100,2.80,BRL,2026-02-20,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000101,REF-C02-000101,E2E-C02-000000101,2.92,BRL,2026-02-21,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000102,REF-C02-000102,E2E-C02-000000102,1.00,BRL,2026-02-22,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000103,REF-C02-000103,E2E-C02-000000103,1.12,BRL,2026-02-23,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000104,REF-C02-000104,E2E-C02-000000104,1.24,BRL,2026-02-24,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000105,REF-C02-000105,E2E-C02-000000105,1.36,BRL,2026-02-25,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000106,REF-C02-000106,E2E-C02-000000106,1.48,BRL,2026-02-26,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000107,REF-C02-000107,E2E-C02-000000107,1.60,BRL,2026-02-27,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000108,REF-C02-000108,E2E-C02-000000108,1.72,BRL,2026-02-28,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000109,REF-C02-000109,E2E-C02-000000109,1.84,BRL,2026-03-01,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000110,REF-C02-000110,E2E-C02-000000110,1.96,BRL,2026-03-02,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000111,REF-C02-000111,E2E-C02-000000111,2.08,BRL,2026-03-03,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000112,REF-C02-000112,E2E-C02-000000112,2.20,BRL,2026-03-04,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000113,REF-C02-000113,E2E-C02-000000113,2.32,BRL,2026-03-05,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000114,REF-C02-000114,E2E-C02-000000114,2.44,BRL,2026-03-06,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000115,REF-C02-000115,E2E-C02-000000115,2.56,BRL,2026-03-07,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000116,REF-C02-000116,E2E-C02-000000116,2.68,BRL,2026-03-08,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000117,REF-C02-000117,E2E-C02-000000117,2.80,BRL,2026-03-09,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000118,REF-C02-000118,E2E-C02-000000118,2.92,BRL,2026-03-10,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000119,REF-C02-000119,E2E-C02-000000119,1.00,BRL,2026-03-11,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000120,REF-C02-000120,E2E-C02-000000120,1.12,USD,2026-03-12,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000121,REF-C02-000121,E2E-C02-000000121,1.24,BRL,2026-03-13,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000122,REF-C02-000122,E2E-C02-000000122,1.36,BRL,2026-03-14,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000123,REF-C02-000123,E2E-C02-000000123,1.48,BRL,2026-03-15,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000124,REF-C02-000124,E2E-C02-000000124,1.60,BRL,2026-03-16,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000125,REF-C02-000125,E2E-C02-000000125,1.72,BRL,2026-03-17,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000126,REF-C02-000126,E2E-C02-000000126,1.84,BRL,2026-02-04,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000127,REF-C02-000127,E2E-C02-000000127,1.96,BRL,2026-02-05,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000128,REF-C02-000128,E2E-C02-000000128,2.08,BRL,2026-02-06,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000129,REF-C02-000129,E2E-C02-000000129,2.20,BRL,2026-02-07,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000130,REF-C02-000130,E2E-C02-000000130,2.32,BRL,2026-02-08,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000131,REF-C02-000131,E2E-C02-000000131,2.44,BRL,2026-02-09,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000132,REF-C02-000132,E2E-C02-000000132,2.56,EUR,2026-02-10,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000133,REF-C02-000133,E2E-C02-000000133,2.68,BRL,2026-02-11,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000134,REF-C02-000134,E2E-C02-000000134,2.80,BRL,2026-02-12,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000135,REF-C02-000135,E2E-C02-000000135,2.92,BRL,2026-02-13,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000136,REF-C02-000136,E2E-C02-000000136,1.00,BRL,2026-02-14,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000137,REF-C02-000137,E2E-C02-000000137,1.12,BRL,2026-02-15,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000138,REF-C02-000138,E2E-C02-000000138,1.24,BRL,2026-02-16,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000139,REF-C02-000139,E2E-C02-000000139,1.36,BRL,2026-02-17,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000140,REF-C02-000140,E2E-C02-000000140,1.48,BRL,2026-02-18,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000141,REF-C02-000141,E2E-C02-000000141,1.60,BRL,2026-02-19,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000142,REF-C02-000142,E2E-C02-000000142,1.72,BRL,2026-02-20,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000143,REF-C02-000143,E2E-C02-000000143,1.84,BRL,2026-02-21,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000144,REF-C02-000144,E2E-C02-000000144,1.96,BRL,2026-02-22,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000145,REF-C02-000145,E2E-C02-000000145,2.08,BRL,2026-02-23,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000146,REF-C02-000146,E2E-C02-000000146,2.20,BRL,2026-02-24,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000147,REF-C02-000147,E2E-C02-000000147,2.32,BRL,2026-02-25,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000148,REF-C02-000148,E2E-C02-000000148,2.44,BRL,2026-02-26,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000149,REF-C02-000149,E2E-C02-000000149,2.56,BRL,2026-02-27,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000150,REF-C02-000150,E2E-C02-000000150,2.68,BRL,2026-02-28,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000151,REF-C02-000151,E2E-C02-000000151,2.80,BRL,2026-03-01,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000152,REF-C02-000152,E2E-C02-000000152,2.92,BRL,2026-03-02,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000153,REF-C02-000153,E2E-C02-000000153,1.00,BRL,2026-03-03,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000154,REF-C02-000154,E2E-C02-000000154,1.12,BRL,2026-03-04,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000155,REF-C02-000155,E2E-C02-000000155,1.24,BRL,2026-03-05,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000156,REF-C02-000156,E2E-C02-000000156,1.36,USD,2026-03-06,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000157,REF-C02-000157,E2E-C02-000000157,1.48,BRL,2026-03-07,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000158,REF-C02-000158,E2E-C02-000000158,1.60,BRL,2026-03-08,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000159,REF-C02-000159,E2E-C02-000000159,1.72,BRL,2026-03-09,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000160,REF-C02-000160,E2E-C02-000000160,1.84,BRL,2026-03-10,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000161,REF-C02-000161,E2E-C02-000000161,1.96,BRL,2026-03-11,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000162,REF-C02-000162,E2E-C02-000000162,2.08,BRL,2026-03-12,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000163,REF-C02-000163,E2E-C02-000000163,2.20,BRL,2026-03-13,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000164,REF-C02-000164,E2E-C02-000000164,2.32,BRL,2026-03-14,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000165,REF-C02-000165,E2E-C02-000000165,2.44,BRL,2026-03-15,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000166,REF-C02-000166,E2E-C02-000000166,2.56,BRL,2026-03-16,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000167,REF-C02-000167,E2E-C02-000000167,2.68,BRL,2026-03-17,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000168,REF-C02-000168,E2E-C02-000000168,2.80,EUR,2026-02-04,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000169,REF-C02-000169,E2E-C02-000000169,2.92,BRL,2026-02-05,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000170,REF-C02-000170,E2E-C02-000000170,1.00,BRL,2026-02-06,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000171,REF-C02-000171,E2E-C02-000000171,1.12,BRL,2026-02-07,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000172,REF-C02-000172,E2E-C02-000000172,1.24,BRL,2026-02-08,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000173,REF-C02-000173,E2E-C02-000000173,1.36,BRL,2026-02-09,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000174,REF-C02-000174,E2E-C02-000000174,1.48,BRL,2026-02-10,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000175,REF-C02-000175,E2E-C02-000000175,1.60,BRL,2026-02-11,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000176,REF-C02-000176,E2E-C02-000000176,1.72,BRL,2026-02-12,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000177,REF-C02-000177,E2E-C02-000000177,1.84,BRL,2026-02-13,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
ADJ-C02-000178,REF-C02-000178,E2E-C02-000000178,1.96,BRL,2026-02-14,manual_reconciliation_adjustment,adjustment_links_to_ledger_and_bank
