bank_entry_id,end_to_end_id,amount,currency,booking_date,description,bank_account,reference,scenario
BNK-C02-000020,E2E-C02-000000020,69.21,BRL,2026-02-22,Synthetic bank statement line REF-C02-000020,BANK-C02-003,REF-C02-000020,bank_statement_match_candidate
BNK-C02-000021,E2E-C02-000000021,126.59,BRL,2026-02-23,Synthetic bank statement line REF-C02-000021,BANK-C02-004,REF-C02-000021,bank_statement_match_candidate
BNK-C02-000022,E2E-C02-000000022,816.53,BRL,2026-02-25,Synthetic bank statement line REF-C02-000022,BANK-C02-005,REF-C02-000022,bank_statement_match_candidate
BNK-C02-000023,E2E-C02-000000023,570.70,BRL,2026-02-25,Synthetic bank statement line REF-C02-000023,BANK-C02-006,REF-C02-000023,bank_statement_match_candidate
BNK-C02-000024,E2E-C02-000000024,107.67,EUR,2026-02-26,Synthetic bank statement line REF-C02-000024,BANK-C02-007,REF-C02-000024,bank_statement_match_candidate
BNK-C02-000025,E2E-C02-000000025,498.17,BRL,2026-02-27,Synthetic bank statement line REF-C02-000025,BANK-C02-008,REF-C02-000025,bank_statement_match_candidate
BNK-C02-000026,E2E-C02-000000026,71.86,BRL,2026-02-28,Synthetic bank statement line REF-C02-000026,BANK-C02-009,REF-C02-000026,bank_statement_match_candidate
BNK-C02-000027,E2E-C02-000000027,807.61,BRL,2026-03-01,Synthetic bank statement line REF-C02-000027,BANK-C02-001,REF-C02-000027,bank_statement_match_candidate
BNK-C02-000028,E2E-C02-000000028,849.64,BRL,2026-03-02,Synthetic bank statement line REF-C02-000028,BANK-C02-002,REF-C02-000028,bank_statement_match_candidate
BNK-C02-000029,E2E-C02-000000029,916.06,BRL,2026-03-03,Synthetic bank statement line REF-C02-000029,BANK-C02-003,REF-C02-000029,bank_statement_match_candidate
BNK-C02-000030,E2E-C02-000000030,574.03,BRL,2026-03-04,Synthetic bank statement line REF-C02-000030,BANK-C02-004,REF-C02-000030,bank_statement_match_candidate
BNK-C02-000031,E2E-C02-000000031,463.35,BRL,2026-03-05,Synthetic bank statement line REF-C02-000031,BANK-C02-005,REF-C02-000031,bank_statement_match_candidate
BNK-C02-000032,E2E-C02-000000032,754.74,BRL,2026-03-06,Synthetic bank statement line REF-C02-000032,BANK-C02-006,REF-C02-000032,bank_statement_match_candidate
BNK-C02-000033,E2E-C02-000000033,166.06,BRL,2026-03-08,Synthetic bank statement line REF-C02-000033,BANK-C02-007,REF-C02-000033,bank_statement_match_candidate
BNK-C02-000034,E2E-C02-000000034,804.36,BRL,2026-03-08,Synthetic bank statement line REF-C02-000034,BANK-C02-008,REF-C02-000034,bank_statement_match_candidate
BNK-C02-000035,E2E-C02-000000035,406.57,BRL,2026-03-09,Synthetic bank statement line REF-C02-000035,BANK-C02-009,REF-C02-000035,bank_statement_match_candidate
BNK-C02-000036,E2E-C02-000000036,353.15,BRL,2026-03-10,Synthetic bank statement line REF-C02-000036,BANK-C02-001,REF-C02-000036,bank_statement_match_candidate
BNK-C02-000037,E2E-C02-000000037,-12.77,BRL,2026-03-11,Synthetic bank statement line REF-C02-000037,BANK-C02-002,REF-C02-000037,bank_statement_match_candidate
BNK-C02-000038,E2E-C02-000000038,926.99,BRL,2026-03-12,Synthetic bank statement line REF-C02-000038,BANK-C02-003,REF-C02-000038,bank_statement_match_candidate
BNK-C02-000039,E2E-C02-000000039,138.89,BRL,2026-03-13,Synthetic bank statement line REF-C02-000039,BANK-C02-004,REF-C02-000039,bank_statement_match_candidate
BNK-C02-000040,E2E-C02-000000040,416.69,BRL,2026-03-14,Synthetic bank statement line REF-C02-000040,BANK-C02-005,REF-C02-000040,bank_statement_match_candidate
BNK-C02-000041,E2E-C02-000000041,689.35,BRL,2026-03-15,Synthetic bank statement line REF-C02-000041,BANK-C02-006,REF-C02-000041,amount_tolerance_candidate
BNK-C02-000042,E2E-C02-000000042,797.22,BRL,2026-02-02,Synthetic bank statement line REF-C02-000042,BANK-C02-007,REF-C02-000042,bank_statement_match_candidate
BNK-C02-000043,E2E-C02-000000043,885.58,BRL,2026-02-03,Synthetic bank statement line REF-C02-000043,BANK-C02-008,REF-C02-000043,bank_statement_match_candidate
BNK-C02-000044,E2E-C02-000000044,215.97,BRL,2026-02-05,Synthetic bank statement line REF-C02-000044,BANK-C02-009,REF-C02-000044,bank_statement_match_candidate
BNK-C02-000045,E2E-C02-000000045,818.65,BRL,2026-02-05,Synthetic bank statement line REF-C02-000045,BANK-C02-001,REF-C02-000045,bank_statement_match_candidate
BNK-C02-000046,E2E-C02-000000046,743.52,BRL,2026-02-06,Synthetic bank statement line REF-C02-000046,BANK-C02-002,REF-C02-000046,bank_statement_match_candidate
BNK-C02-000047,E2E-C02-000000047,144.55,BRL,2026-02-07,Synthetic bank statement line REF-C02-000047,BANK-C02-003,REF-C02-000047,bank_statement_match_candidate
BNK-C02-000048,E2E-C02-000000048,478.74,USD,2026-02-08,Synthetic bank statement line REF-C02-000048,BANK-C02-004,REF-C02-000048,bank_statement_match_candidate
BNK-C02-000049,E2E-C02-000000049,765.45,BRL,2026-02-09,Synthetic bank statement line REF-C02-000049,BANK-C02-005,REF-C02-000049,bank_statement_match_candidate
BNK-C02-000050,E2E-C02-000000050,35.54,BRL,2026-02-10,Synthetic bank statement line REF-C02-000050,BANK-C02-006,REF-C02-000050,bank_statement_match_candidate
BNK-C02-000051,E2E-C02-000000051,199.10,BRL,2026-02-11,Synthetic bank statement line REF-C02-000051,BANK-C02-007,REF-C02-000051,bank_statement_match_candidate
BNK-C02-000052,E2E-C02-000000052,425.32,BRL,2026-02-12,Synthetic bank statement line REF-C02-000052,BANK-C02-008,REF-C02-000052,bank_statement_match_candidate
BNK-C02-000053,E2E-C02-000000053,532.63,BRL,2026-02-13,Synthetic bank statement line REF-C02-000053,BANK-C02-009,REF-C02-000053,bank_statement_match_candidate
BNK-C02-000054,E2E-C02-000000054,402.36,BRL,2026-02-14,Synthetic bank statement line REF-C02-000054,BANK-C02-001,REF-C02-000054,bank_statement_match_candidate
BNK-C02-000055,E2E-C02-000000055,23.77,BRL,2026-02-16,Synthetic bank statement line REF-C02-000055,BANK-C02-002,REF-C02-000055,bank_statement_match_candidate
BNK-C02-000056,E2E-C02-000000056,895.67,BRL,2026-02-16,Synthetic bank statement line REF-C02-000056,BANK-C02-003,REF-C02-000056,bank_statement_match_candidate
BNK-C02-000057,E2E-C02-000000057,528.04,BRL,2026-02-17,Synthetic bank statement line REF-C02-000057,BANK-C02-004,REF-C02-000057,bank_statement_match_candidate
BNK-C02-000058,E2E-C02-000000058,865.02,BRL,2026-02-18,Synthetic bank statement line REF-C02-000058,BANK-C02-005,REF-C02-000058,bank_statement_match_candidate
BNK-C02-000059,E2E-C02-000000059,496.24,BRL,2026-02-19,Synthetic bank statement line REF-C02-000059,BANK-C02-006,REF-C02-000059,bank_statement_match_candidate
BNK-C02-000060,E2E-C02-000000060,350.07,EUR,2026-02-20,Synthetic bank statement line REF-C02-000060,BANK-C02-007,REF-C02-000060,bank_statement_match_candidate
BNK-C02-000061,E2E-C02-000000061,765.28,BRL,2026-02-21,Synthetic bank statement line REF-C02-000061,BANK-C02-008,REF-C02-000061,bank_statement_match_candidate
BNK-C02-000062,E2E-C02-000000062,350.11,BRL,2026-02-22,Synthetic bank statement line REF-C02-000062,BANK-C02-009,REF-C02-000062,bank_statement_match_candidate
BNK-C02-000063,E2E-C02-000000063,534.54,BRL,2026-02-23,Synthetic bank statement line REF-C02-000063,BANK-C02-001,REF-C02-000063,bank_statement_match_candidate
BNK-C02-000064,E2E-C02-000000064,745.04,BRL,2026-02-24,Synthetic bank statement line REF-C02-000064,BANK-C02-002,REF-C02-000064,bank_statement_match_candidate
BNK-C02-000065,E2E-C02-000000065,69.06,BRL,2026-02-25,Synthetic bank statement line REF-C02-000065,BANK-C02-003,REF-C02-000065,bank_statement_match_candidate
BNK-C02-000066,E2E-C02-000000066,233.85,BRL,2026-02-27,Synthetic bank statement line REF-C02-000066,BANK-C02-004,REF-C02-000066,bank_statement_match_candidate
BNK-C02-000067,E2E-C02-000000067,684.10,BRL,2026-02-27,Synthetic bank statement line REF-C02-000067,BANK-C02-005,REF-C02-000067,amount_mismatch_outside_tolerance
BNK-C02-000068,E2E-C02-000000068,260.46,BRL,2026-02-28,Synthetic bank statement line REF-C02-000068,BANK-C02-006,REF-C02-000068,bank_statement_match_candidate
BNK-C02-000069,E2E-C02-000000069,612.81,BRL,2026-03-01,Synthetic bank statement line REF-C02-000069,BANK-C02-007,REF-C02-000069,bank_statement_match_candidate
BNK-C02-000070,E2E-C02-000000070,523.26,BRL,2026-03-02,Synthetic bank statement line REF-C02-000070,BANK-C02-008,REF-C02-000070,bank_statement_match_candidate
BNK-C02-000071,E2E-C02-000000071,410.68,BRL,2026-03-03,Synthetic bank statement line REF-C02-000071,BANK-C02-009,REF-C02-000071,bank_statement_match_candidate
BNK-C02-000072,E2E-C02-000000072,788.41,BRL,2026-03-04,Synthetic bank statement line REF-C02-000072,BANK-C02-001,REF-C02-000072,bank_statement_match_candidate
BNK-C02-000073,E2E-C02-000000073,351.51,BRL,2026-03-05,Synthetic bank statement line REF-C02-000073,BANK-C02-002,REF-C02-000073,bank_statement_match_candidate
BNK-C02-000074,E2E-C02-000000074,-12.25,BRL,2026-03-06,Synthetic bank statement line REF-C02-000074,BANK-C02-003,REF-C02-000074,bank_statement_match_candidate
BNK-C02-000075,E2E-C02-000000075,406.61,BRL,2026-03-07,Synthetic bank statement line REF-C02-000075,BANK-C02-004,REF-C02-000075,bank_statement_match_candidate
BNK-C02-000076,E2E-C02-000000076,306.81,BRL,2026-03-08,Synthetic bank statement line REF-C02-000076,BANK-C02-005,REF-C02-000076,bank_statement_match_candidate
BNK-C02-000077,E2E-C02-000000077,230.01,BRL,2026-03-10,Synthetic bank statement line REF-C02-000077,BANK-C02-006,REF-C02-000077,bank_statement_match_candidate
BNK-C02-000078,E2E-C02-000000078,681.28,BRL,2026-03-10,Synthetic bank statement line REF-C02-000078,BANK-C02-007,REF-C02-000078,bank_statement_match_candidate
BNK-C02-000079,E2E-C02-000000079,350.22,BRL,2026-03-11,Synthetic bank statement line REF-C02-000079,BANK-C02-008,REF-C02-000079,bank_statement_match_candidate
BNK-C02-000080,E2E-C02-000000080,543.42,BRL,2026-03-12,Synthetic bank statement line REF-C02-000080,BANK-C02-009,REF-C02-000080,bank_statement_match_candidate
BNK-C02-000081,E2E-C02-000000081,346.76,BRL,2026-03-13,Synthetic bank statement line REF-C02-000081,BANK-C02-001,REF-C02-000081,bank_statement_match_candidate
BNK-C02-000082,E2E-C02-000000082,782.02,BRL,2026-03-14,Synthetic bank statement line REF-C02-000082,BANK-C02-002,REF-C02-000082,amount_tolerance_candidate
BNK-C02-000083,,341.55,BRL,2026-03-15,Synthetic bank statement line REF-C02-000083,BANK-C02-003,REF-C02-000083,missing_e2e_uses_reference_fallback
BNK-C02-000084,E2E-C02-000000084,766.65,USD,2026-02-02,Synthetic bank statement line REF-C02-000084,BANK-C02-004,REF-C02-000084,bank_statement_match_candidate
BNK-C02-000085,E2E-C02-000000085,285.85,BRL,2026-02-03,Synthetic bank statement line REF-C02-000085,BANK-C02-005,REF-C02-000085,bank_statement_match_candidate
BNK-C02-000086,E2E-C02-000000086,465.18,BRL,2026-02-04,Synthetic bank statement line REF-C02-000086,BANK-C02-006,REF-C02-000086,bank_statement_match_candidate
BNK-C02-000087,E2E-C02-000000087,737.39,BRL,2026-02-05,Synthetic bank statement line REF-C02-000087,BANK-C02-007,REF-C02-000087,bank_statement_match_candidate
BNK-C02-000088,E2E-C02-000000088,176.36,BRL,2026-02-07,Synthetic bank statement line REF-C02-000088,BANK-C02-008,REF-C02-000088,bank_statement_match_candidate
BNK-C02-000089,E2E-C02-000000089,680.68,BRL,2026-02-07,Synthetic bank statement line REF-C02-000089,BANK-C02-009,REF-C02-000089,bank_statement_match_candidate
BNK-C02-000090,E2E-C02-000000090,631.91,BRL,2026-02-08,Synthetic bank statement line REF-C02-000090,BANK-C02-001,REF-C02-000090,bank_statement_match_candidate
BNK-C02-000091,E2E-C02-000000091,661.93,BRL,2026-02-09,Synthetic bank statement line REF-C02-000091,BANK-C02-002,REF-C02-000091,bank_statement_match_candidate
BNK-C02-000092,E2E-C02-000000092,323.71,BRL,2026-02-10,Synthetic bank statement line REF-C02-000092,BANK-C02-003,REF-C02-000092,bank_statement_match_candidate
BNK-C02-000093,E2E-C02-000000093,286.27,BRL,2026-02-11,Synthetic bank statement line REF-C02-000093,BANK-C02-004,REF-C02-000093,bank_statement_match_candidate
BNK-C02-000094,E2E-C02-000000094,909.77,BRL,2026-02-12,Synthetic bank statement line REF-C02-000094,BANK-C02-005,REF-C02-000094,bank_statement_match_candidate
BNK-C02-000095,E2E-C02-000000095,599.30,BRL,2026-02-13,Synthetic bank statement line REF-C02-000095,BANK-C02-006,REF-C02-000095,bank_statement_match_candidate
BNK-C02-000096,E2E-C02-000000096,524.16,EUR,2026-02-14,Synthetic bank statement line REF-C02-000096,BANK-C02-007,REF-C02-000096,bank_statement_match_candidate
BNK-C02-000097,E2E-C02-000000097,816.96,BRL,2026-02-15,Synthetic bank statement line REF-C02-000097,BANK-C02-008,REF-C02-000097,bank_statement_match_candidate
BNK-C02-000098,E2E-C02-000000098,328.02,BRL,2026-02-16,Synthetic bank statement line REF-C02-000098,BANK-C02-009,REF-C02-000098,bank_statement_match_candidate
BNK-C02-000099,E2E-C02-000000099,47.05,BRL,2026-02-18,Synthetic bank statement line REF-C02-000099,BANK-C02-001,REF-C02-000099,bank_statement_match_candidate
BNK-C02-000100,E2E-C02-000000100,335.84,BRL,2026-02-18,Synthetic bank statement line REF-C02-000100,BANK-C02-002,REF-C02-000100,bank_statement_match_candidate
BNK-C02-000101,E2E-C02-000000101,570.00,BRL,2026-02-19,Synthetic bank statement line REF-C02-000101,BANK-C02-003,REF-C02-000101,bank_statement_match_candidate
BNK-C02-000102,E2E-C02-000000102,271.83,BRL,2026-02-20,Synthetic bank statement line REF-C02-000102,BANK-C02-004,REF-C02-000102,bank_statement_match_candidate
BNK-C02-000103,E2E-C02-000000103,282.50,BRL,2026-02-21,Synthetic bank statement line REF-C02-000103,BANK-C02-005,REF-C02-000103,bank_statement_match_candidate
BNK-C02-000104,E2E-C02-000000104,861.17,BRL,2026-02-22,Synthetic bank statement line REF-C02-000104,BANK-C02-006,REF-C02-000104,bank_statement_match_candidate
BNK-C02-000105,E2E-C02-000000105,304.83,BRL,2026-02-23,Synthetic bank statement line REF-C02-000105,BANK-C02-007,REF-C02-000105,bank_statement_match_candidate
BNK-C02-000106,E2E-C02-000000106,932.44,BRL,2026-02-24,Synthetic bank statement line REF-C02-000106,BANK-C02-008,REF-C02-000106,bank_statement_match_candidate
BNK-C02-000107,E2E-C02-000000107,661.57,BRL,2026-02-25,Synthetic bank statement line REF-C02-000107,BANK-C02-009,REF-C02-000107,bank_statement_match_candidate
BNK-C02-000108,E2E-C02-000000108,646.07,BRL,2026-02-26,Synthetic bank statement line REF-C02-000108,BANK-C02-001,REF-C02-000108,bank_statement_match_candidate
BNK-C02-000109,E2E-C02-000000109,493.41,BRL,2026-02-27,Synthetic bank statement line REF-C02-000109,BANK-C02-002,REF-C02-000109,bank_statement_match_candidate
BNK-C02-000110,E2E-C02-000000110,378.72,BRL,2026-03-01,Synthetic bank statement line REF-C02-000110,BANK-C02-003,REF-C02-000110,bank_statement_match_candidate
BNK-C02-000111,E2E-C02-000000111,-19.10,BRL,2026-03-01,Synthetic bank statement line REF-C02-000111,BANK-C02-004,REF-C02-000111,bank_statement_match_candidate
BNK-C02-000112,E2E-C02-000000112,919.33,BRL,2026-03-02,Synthetic bank statement line REF-C02-000112,BANK-C02-005,REF-C02-000112,bank_statement_match_candidate
BNK-C02-000113,E2E-C02-000000113,351.19,BRL,2026-03-03,Synthetic bank statement line REF-C02-000113,BANK-C02-006,REF-C02-000113,bank_statement_match_candidate
BNK-C02-000114,E2E-C02-000000114,947.48,BRL,2026-03-04,Synthetic bank statement line REF-C02-000114,BANK-C02-007,REF-C02-000114,bank_statement_match_candidate
BNK-C02-000115,E2E-C02-000000115,77.43,BRL,2026-03-05,Synthetic bank statement line REF-C02-000115,BANK-C02-008,REF-C02-000115,bank_statement_match_candidate
BNK-C02-000116,E2E-C02-000000116,322.40,BRL,2026-03-06,Synthetic bank statement line REF-C02-000116,BANK-C02-009,REF-C02-000116,bank_statement_match_candidate
BNK-C02-000117,E2E-C02-000000117,402.84,BRL,2026-03-07,Synthetic bank statement line REF-C02-000117,BANK-C02-001,REF-C02-000117,bank_statement_match_candidate
BNK-C02-000118,E2E-C02-000000118,740.25,BRL,2026-03-08,Synthetic bank statement line REF-C02-000118,BANK-C02-002,REF-C02-000118,bank_statement_match_candidate
BNK-C02-000119,E2E-C02-000000119,565.96,BRL,2026-03-09,Synthetic bank statement line REF-C02-000119,BANK-C02-003,REF-C02-000119,bank_statement_match_candidate
BNK-C02-000120,E2E-C02-000000120,723.01,USD,2026-03-10,Synthetic bank statement line REF-C02-000120,BANK-C02-004,REF-C02-000120,bank_statement_match_candidate
BNK-C02-000121,E2E-C02-000000121,550.30,BRL,2026-03-12,Synthetic bank statement line REF-C02-000121,BANK-C02-005,REF-C02-000121,bank_statement_match_candidate
BNK-C02-000122,E2E-C02-000000122,273.79,BRL,2026-03-12,Synthetic bank statement line REF-C02-000122,BANK-C02-006,REF-C02-000122,bank_statement_match_candidate
BNK-C02-000123,E2E-C02-000000123,224.26,BRL,2026-03-13,Synthetic bank statement line REF-C02-000123,BANK-C02-007,REF-C02-000123,amount_tolerance_candidate
BNK-C02-000124,E2E-C02-000000124,224.11,BRL,2026-03-14,Synthetic bank statement line REF-C02-000124,BANK-C02-008,REF-C02-000124,bank_statement_match_candidate
BNK-C02-000125,E2E-C02-000000125,560.31,BRL,2026-03-15,Synthetic bank statement line REF-C02-000125,BANK-C02-009,REF-C02-000125,bank_statement_match_candidate
BNK-C02-000126,E2E-C02-000000126,27.93,BRL,2026-02-02,Synthetic bank statement line REF-C02-000126,BANK-C02-001,REF-C02-000126,bank_statement_match_candidate
BNK-C02-000127,E2E-C02-000000127,877.66,BRL,2026-02-03,Synthetic bank statement line REF-C02-000127,BANK-C02-002,REF-C02-000127,bank_statement_match_candidate
BNK-C02-000128,E2E-C02-000000128,627.54,BRL,2026-02-04,Synthetic bank statement line REF-C02-000128,BANK-C02-003,REF-C02-000128,bank_statement_match_candidate
BNK-C02-000129,E2E-C02-000000129,130.59,BRL,2026-02-05,Synthetic bank statement line REF-C02-000129,BANK-C02-004,REF-C02-000129,bank_statement_match_candidate
BNK-C02-000130,E2E-C02-000000130,219.88,BRL,2026-02-06,Synthetic bank statement line REF-C02-000130,BANK-C02-005,REF-C02-000130,bank_statement_match_candidate
BNK-C02-000131,E2E-C02-000000131,708.54,BRL,2026-02-07,Synthetic bank statement line REF-C02-000131,BANK-C02-006,REF-C02-000131,bank_statement_match_candidate
BNK-C02-000132,E2E-C02-000000132,160.40,EUR,2026-02-09,Synthetic bank statement line REF-C02-000132,BANK-C02-007,REF-C02-000132,bank_statement_match_candidate
BNK-C02-000133,E2E-C02-000000133,135.03,BRL,2026-02-09,Synthetic bank statement line REF-C02-000133,BANK-C02-008,REF-C02-000133,bank_statement_match_candidate
BNK-C02-000134,E2E-C02-000000134,643.46,BRL,2026-02-10,Synthetic bank statement line REF-C02-000134,BANK-C02-009,REF-C02-000134,amount_mismatch_outside_tolerance
BNK-C02-000135,E2E-C02-000000135,804.39,BRL,2026-02-11,Synthetic bank statement line REF-C02-000135,BANK-C02-001,REF-C02-000135,bank_statement_match_candidate
BNK-C02-000136,E2E-C02-000000136,356.98,BRL,2026-02-12,Synthetic bank statement line REF-C02-000136,BANK-C02-002,REF-C02-000136,bank_statement_match_candidate
BNK-C02-000137,E2E-C02-000000137,111.74,BRL,2026-02-13,Synthetic bank statement line REF-C02-000137,BANK-C02-003,REF-C02-000137,bank_statement_match_candidate
BNK-C02-000138,E2E-C02-000000138,550.90,BRL,2026-02-14,Synthetic bank statement line REF-C02-000138,BANK-C02-004,REF-C02-000138,bank_statement_match_candidate
BNK-C02-000139,E2E-C02-000000139,394.76,BRL,2026-02-15,Synthetic bank statement line REF-C02-000139,BANK-C02-005,REF-C02-000139,bank_statement_match_candidate
BNK-C02-000140,E2E-C02-000000140,523.02,BRL,2026-02-16,Synthetic bank statement line REF-C02-000140,BANK-C02-006,REF-C02-000140,bank_statement_match_candidate
BNK-C02-000141,E2E-C02-000000141,507.30,BRL,2026-02-17,Synthetic bank statement line REF-C02-000141,BANK-C02-007,REF-C02-000141,bank_statement_match_candidate
BNK-C02-000142,E2E-C02-000000142,519.47,BRL,2026-02-18,Synthetic bank statement line REF-C02-000142,BANK-C02-008,REF-C02-000142,bank_statement_match_candidate
BNK-C02-000143,E2E-C02-000000143,148.13,BRL,2026-02-20,Synthetic bank statement line REF-C02-000143,BANK-C02-009,REF-C02-000143,bank_statement_match_candidate
BNK-C02-000144,E2E-C02-000000144,593.69,BRL,2026-02-20,Synthetic bank statement line REF-C02-000144,BANK-C02-001,REF-C02-000144,bank_statement_match_candidate
BNK-C02-000145,E2E-C02-000000145,76.72,BRL,2026-02-21,Synthetic bank statement line REF-C02-000145,BANK-C02-002,REF-C02-000145,bank_statement_match_candidate
BNK-C02-000146,E2E-C02-000000146,245.54,BRL,2026-02-22,Synthetic bank statement line REF-C02-000146,BANK-C02-003,REF-C02-000146,bank_statement_match_candidate
BNK-C02-000147,E2E-C02-000000147,922.23,BRL,2026-02-23,Synthetic bank statement line REF-C02-000147,BANK-C02-004,REF-C02-000147,bank_statement_match_candidate
BNK-C02-000148,E2E-C02-000000148,-5.25,BRL,2026-02-24,Synthetic bank statement line REF-C02-000148,BANK-C02-005,REF-C02-000148,bank_statement_match_candidate
BNK-C02-000149,E2E-C02-000000149,479.93,BRL,2026-02-25,Synthetic bank statement line REF-C02-000149,BANK-C02-006,REF-C02-000149,bank_statement_match_candidate
BNK-C02-000150,E2E-C02-000000150,364.55,BRL,2026-02-26,Synthetic bank statement line REF-C02-000150,BANK-C02-007,REF-C02-000150,bank_statement_match_candidate
BNK-C02-000151,E2E-C02-000000151,619.06,BRL,2026-02-27,Synthetic bank statement line REF-C02-000151,BANK-C02-008,REF-C02-000151,bank_statement_match_candidate
BNK-C02-000152,E2E-C02-000000152,141.26,BRL,2026-02-28,Synthetic bank statement line REF-C02-000152,BANK-C02-009,REF-C02-000152,bank_statement_match_candidate
BNK-C02-000153,E2E-C02-000000153,79.57,BRL,2026-03-01,Synthetic bank statement line REF-C02-000153,BANK-C02-001,REF-C02-000153,bank_statement_match_candidate
BNK-C02-000154,E2E-C02-000000154,871.17,BRL,2026-03-03,Synthetic bank statement line REF-C02-000154,BANK-C02-002,REF-C02-000154,bank_statement_match_candidate
BNK-C02-000155,E2E-C02-000000155,134.82,BRL,2026-03-03,Synthetic bank statement line REF-C02-000155,BANK-C02-003,REF-C02-000155,bank_statement_match_candidate
BNK-C02-000156,E2E-C02-000000156,753.11,USD,2026-03-04,Synthetic bank statement line REF-C02-000156,BANK-C02-004,REF-C02-000156,bank_statement_match_candidate
BNK-C02-000157,E2E-C02-000000157,674.38,BRL,2026-03-05,Synthetic bank statement line REF-C02-000157,BANK-C02-005,REF-C02-000157,bank_statement_match_candidate
BNK-C02-000158,E2E-C02-000000158,601.06,BRL,2026-03-06,Synthetic bank statement line REF-C02-000158,BANK-C02-006,REF-C02-000158,bank_statement_match_candidate
BNK-C02-000159,E2E-C02-000000159,49.89,BRL,2026-03-07,Synthetic bank statement line REF-C02-000159,BANK-C02-007,REF-C02-000159,bank_statement_match_candidate
BNK-C02-000160,E2E-C02-000000160,718.27,BRL,2026-03-08,Synthetic bank statement line REF-C02-000160,BANK-C02-008,REF-C02-000160,bank_statement_match_candidate
BNK-C02-000161,E2E-C02-000000161,47.55,BRL,2026-03-09,Synthetic bank statement line REF-C02-000161,BANK-C02-009,REF-C02-000161,bank_statement_match_candidate
BNK-C02-000162,E2E-C02-000000162,739.41,BRL,2026-03-10,Synthetic bank statement line REF-C02-000162,BANK-C02-001,REF-C02-000162,bank_statement_match_candidate
BNK-C02-000163,E2E-C02-000000163,854.84,BRL,2026-03-11,Synthetic bank statement line REF-C02-000163,BANK-C02-002,REF-C02-000163,bank_statement_match_candidate
