bank_tx_id,reference,amount,currency,booking_date,description,customer_ref,scenario
BANK-C04-000052,REF-C04-000052,313.67,BRL,2026-04-30,Synthetic bank transfer REF-C04-000052,CUST-C04-0573,bank_match_candidate
BANK-C04-000053,REF-C04-000053,1156.58,BRL,2026-05-01,Synthetic bank transfer REF-C04-000053,CUST-C04-0584,bank_match_candidate
BANK-C04-000054,REF-C04-000054,141.33,BRL,2026-05-02,Synthetic bank transfer REF-C04-000054,CUST-C04-0595,bank_match_candidate
BANK-C04-000055,REF-C04-000055,353.65,BRL,2026-05-03,Synthetic bank transfer REF-C04-000055,CUST-C04-0606,bank_match_candidate
BANK-C04-000056,REF-C04-000056,473.01,BRL,2026-04-06,Synthetic bank transfer REF-C04-000056,CUST-C04-0617,bank_match_candidate
BANK-C04-000057,REF-C04-000057,1057.58,BRL,2026-04-07,Synthetic bank transfer REF-C04-000057,CUST-C04-0628,bank_match_candidate
BANK-C04-000058,REF-C04-000058,170.84,BRL,2026-04-08,Synthetic bank transfer REF-C04-000058,CUST-C04-0639,bank_match_candidate
BANK-C04-000059,REF-C04-000059,374.02,BRL,2026-04-09,Synthetic bank transfer REF-C04-000059,CUST-C04-0650,amount_mismatch_manual_review
BANK-C04-000060,REF-C04-000060,1218.35,EUR,2026-04-10,Synthetic bank transfer REF-C04-000060,CUST-C04-0661,bank_match_candidate
BANK-C04-000061,REF-C04-000061,612.32,BRL,2026-04-13,Synthetic bank transfer REF-C04-000061,CUST-C04-0672,bank_match_candidate
BANK-C04-000062,REF-C04-000062,295.49,BRL,2026-04-12,Synthetic bank transfer REF-C04-000062,CUST-C04-0683,bank_match_candidate
BANK-C04-000063,REF-C04-000063,329.25,BRL,2026-04-13,Synthetic bank transfer REF-C04-000063,CUST-C04-0694,bank_match_candidate
BANK-C04-000064,REF-C04-000064,1290.74,BRL,2026-04-14,Synthetic bank transfer REF-C04-000064,CUST-C04-0005,bank_match_candidate
BANK-C04-000065,REF-C04-000065,293.67,BRL,2026-04-15,Synthetic bank transfer REF-C04-000065,CUST-C04-0016,bank_match_candidate
BANK-C04-000066,REF-C04-000066,289.18,BRL,2026-04-16,Synthetic bank transfer REF-C04-000066,CUST-C04-0027,bank_match_candidate
BANK-C04-000067,REF-C04-000067,222.74,BRL,2026-04-17,Synthetic bank transfer REF-C04-000067,CUST-C04-0038,bank_match_candidate
BANK-C04-000068,REF-C04-000068,907.95,BRL,2026-04-18,Synthetic bank transfer REF-C04-000068,CUST-C04-0049,bank_match_candidate
BANK-C04-000069,REF-C04-000069,588.55,BRL,2026-04-19,Synthetic bank transfer REF-C04-000069,CUST-C04-0060,bank_match_candidate
BANK-C04-000070,REF-C04-000070,335.20,BRL,2026-04-20,Synthetic bank transfer REF-C04-000070,CUST-C04-0071,bank_match_candidate
BANK-C04-000071,REF-C04-000071,47.21,BRL,2026-04-21,Synthetic bank trasnfer REF-C04-000071,CUST-C04-0082,near_match_description_typo
BANK-C04-000072,REF-C04-000072,377.52,BRL,2026-04-22,Synthetic bank transfer REF-C04-000072,CUST-C04-0093,bank_match_candidate
BANK-C04-000073,REF-C04-000073,412.82,BRL,2026-04-23,Synthetic bank transfer REF-C04-000073,CUST-C04-0104,bank_match_candidate
BANK-C04-000074,REF-C04-000074,1124.93,BRL,2026-04-24,Synthetic bank transfer REF-C04-000074,CUST-C04-0115,bank_match_candidate
BANK-C04-000075,REF-C04-000075,290.92,BRL,2026-04-25,Synthetic bank transfer REF-C04-000075,CUST-C04-0126,bank_match_candidate
BANK-C04-000076,REF-C04-000076,1271.35,BRL,2026-04-26,Synthetic bank transfer REF-C04-000076,CUST-C04-0137,bank_match_candidate
BANK-C04-000077,REF-C04-000077,319.31,BRL,2026-04-27,Synthetic bank transfer REF-C04-000077,CUST-C04-0148,bank_match_candidate
BANK-C04-000078,REF-C04-000078,1147.25,BRL,2026-04-28,Synthetic bank transfer REF-C04-000078,CUST-C04-0159,bank_match_candidate
BANK-C04-000079,REF-C04-000079,298.57,BRL,2026-04-29,Synthetic bank transfer REF-C04-000079,CUST-C04-0170,bank_match_candidate
BANK-C04-000080,REF-C04-000080,228.42,BRL,2026-04-30,Synthetic bank transfer REF-C04-000080,CUST-C04-0181,bank_match_candidate
BANK-C04-000081,REF-C04-000081,814.43,BRL,2026-05-01,Synthetic bank transfer REF-C04-000081,CUST-C04-0192,bank_match_candidate
BANK-C04-000082,REF-C04-000082,1124.73,BRL,2026-05-02,Synthetic bank transfer REF-C04-000082,CUST-C04-0203,bank_match_candidate
BANK-C04-000083,REF-C04-000083,1265.45,BRL,2026-05-03,Synthetic bank transfer REF-C04-000083,CUST-C04-0214,bank_match_candidate
BANK-C04-000084,REF-C04-000084,984.17,USD,2026-04-06,Synthetic bank transfer REF-C04-000084,CUST-C04-0225,bank_match_candidate
BANK-C04-000085,REF-C04-000085,306.80,BRL,2026-04-07,Synthetic bank transfer REF-C04-000085,CUST-C04-0236,bank_match_candidate
BANK-C04-000086,REF-C04-000086,-55.19,BRL,2026-04-08,Synthetic bank transfer REF-C04-000086,CUST-C04-0247,bank_match_candidate
BANK-C04-000087,REF-C04-000087,171.24,BRL,2026-04-09,Synthetic bank transfer REF-C04-000087,CUST-C04-0258,bank_match_candidate
BANK-C04-000088,REF-C04-000088,640.98,BRL,2026-04-10,Synthetic bank transfer REF-C04-000088,CUST-C04-0269,bank_match_candidate
BANK-C04-000089,REF-C04-000089,89.58,BRL,2026-04-11,Synthetic bank transfer REF-C04-000089,CUST-C04-0280,bank_match_candidate
BANK-C04-000090,REF-C04-000090,199.27,BRL,2026-04-12,Synthetic bank transfer REF-C04-000090,CUST-C04-0291,bank_match_candidate
BANK-C04-000091,REF-C04-000091,1052.60,BRL,2026-04-13,Synthetic bank transfer REF-C04-000091,CUST-C04-0302,bank_match_candidate
BANK-C04-000092,REF-C04-000092,324.25,BRL,2026-04-14,Synthetic bank transfer REF-C04-000092,CUST-C04-0313,bank_match_candidate
BANK-C04-000093,REF-C04-000093,1185.25,BRL,2026-04-15,Synthetic bank transfer REF-C04-000093,CUST-C04-0324,bank_match_candidate
BANK-C04-000094,REF-C04-000094,115.54,BRL,2026-04-16,Synthetic bank transfer REF-C04-000094,CUST-C04-0335,small_tolerance_candidate
BANK-C04-000095,REF-C04-000095,360.58,BRL,2026-04-17,Synthetic bank transfer REF-C04-000095,CUST-C04-0346,bank_match_candidate
BANK-C04-000096,REF-C04-000096,1260.39,EUR,2026-04-18,Synthetic bank transfer REF-C04-000096,CUST-C04-0357,bank_match_candidate
BANK-C04-000097,,772.62,BRL,2026-04-19,Synthetic bank transfer REF-C04-000097,CUST-C04-0368,missing_bank_reference
BANK-C04-000098,REF-C04-000098,941.01,BRL,2026-04-20,Synthetic bank transfer REF-C04-000098,CUST-C04-0379,bank_match_candidate
BANK-C04-000099,REF-C04-000099,285.87,BRL,2026-04-21,Synthetic bank transfer REF-C04-000099,CUST-C04-0390,bank_match_candidate
BANK-C04-000100,REF-C04-000100,946.56,BRL,2026-04-22,Synthetic bank transfer REF-C04-000100,CUST-C04-0401,bank_match_candidate
BANK-C04-000101,REF-C04-000101,1053.57,BRL,2026-04-23,Synthetic bank transfer REF-C04-000101,CUST-C04-0412,bank_match_candidate
BANK-C04-000102,REF-C04-000102,1298.48,BRL,2026-04-24,Synthetic bank transfer REF-C04-000102,CUST-C04-0423,bank_match_candidate
BANK-C04-000103,REF-C04-000103,328.80,BRL,2026-04-25,Synthetic bank transfer REF-C04-000103,CUST-C04-0434,bank_match_candidate
BANK-C04-000104,REF-C04-000104,977.77,BRL,2026-04-26,Synthetic bank transfer REF-C04-000104,CUST-C04-0445,bank_match_candidate
BANK-C04-000105,REF-C04-000105,1022.86,BRL,2026-04-27,Synthetic bank transfer REF-C04-000105,CUST-C04-0456,bank_match_candidate
BANK-C04-000106,REF-C04-000106,258.07,BRL,2026-04-28,Synthetic bank transfer REF-C04-000106,CUST-C04-0467,bank_match_candidate
BANK-C04-000107,REF-C04-000107,972.14,BRL,2026-04-29,Synthetic bank transfer REF-C04-000107,CUST-C04-0478,bank_match_candidate
BANK-C04-000108,REF-C04-000108,1042.67,BRL,2026-04-30,Synthetic bank transfer REF-C04-000108,CUST-C04-0489,bank_match_candidate
BANK-C04-000109,REF-C04-000109,1278.66,BRL,2026-05-01,Synthetic bank transfer REF-C04-000109,CUST-C04-0500,bank_match_candidate
BANK-C04-000110,REF-C04-000110,319.12,BRL,2026-05-02,Synthetic bank transfer REF-C04-000110,CUST-C04-0511,bank_match_candidate
BANK-C04-000111,REF-C04-000111,775.39,BRL,2026-05-03,Synthetic bank transfer REF-C04-000111,CUST-C04-0522,bank_match_candidate
BANK-C04-000112,REF-C04-000112,1286.92,BRL,2026-04-06,Synthetic bank transfer REF-C04-000112,CUST-C04-0533,bank_match_candidate
BANK-C04-000113,REF-C04-000113,463.49,BRL,2026-04-07,Synthetic bank transfer REF-C04-000113,CUST-C04-0544,bank_match_candidate
BANK-C04-000114,REF-C04-000114,364.61,BRL,2026-04-08,Synthetic bank transfer REF-C04-000114,CUST-C04-0555,bank_match_candidate
BANK-C04-000115,REF-C04-000115,1275.74,BRL,2026-04-09,Synthetic bank transfer REF-C04-000115,CUST-C04-0566,bank_match_candidate
BANK-C04-000116,REF-C04-000116,391.87,BRL,2026-04-10,Synthetic bank transfer REF-C04-000116,CUST-C04-0577,bank_match_candidate
BANK-C04-000117,REF-C04-000117,142.72,BRL,2026-04-11,Synthetic bank transfer REF-C04-000117,CUST-C04-0588,bank_match_candidate
BANK-C04-000118,REF-C04-000118,530.76,BRL,2026-04-12,Synthetic bank transfer REF-C04-000118,CUST-C04-0599,amount_mismatch_manual_review
BANK-C04-000119,REF-C04-000119,1299.61,BRL,2026-04-13,Synthetic bank transfer REF-C04-000119,CUST-C04-0610,bank_match_candidate
BANK-C04-000120,REF-C04-000120,1232.03,USD,2026-04-14,Synthetic bank transfer REF-C04-000120,CUST-C04-0621,bank_match_candidate
BANK-C04-000121,REF-C04-000121,299.75,BRL,2026-04-15,Synthetic bank transfer REF-C04-000121,CUST-C04-0632,bank_match_candidate
BANK-C04-000122,REF-C04-000122,352.91,BRL,2026-04-18,Synthetic bank transfer REF-C04-000122,CUST-C04-0643,bank_match_candidate
BANK-C04-000123,REF-C04-000123,218.29,BRL,2026-04-17,Synthetic bank transfer REF-C04-000123,CUST-C04-0654,bank_match_candidate
BANK-C04-000124,REF-C04-000124,1104.46,BRL,2026-04-18,Synthetic bank transfer REF-C04-000124,CUST-C04-0665,bank_match_candidate
BANK-C04-000125,REF-C04-000125,105.99,BRL,2026-04-19,Synthetic bank transfer REF-C04-000125,CUST-C04-0676,bank_match_candidate
BANK-C04-000126,REF-C04-000126,1228.11,BRL,2026-04-20,Synthetic bank transfer REF-C04-000126,CUST-C04-0687,bank_match_candidate
BANK-C04-000127,REF-C04-000127,99.17,BRL,2026-04-21,Synthetic bank transfer REF-C04-000127,CUST-C04-0698,bank_match_candidate
BANK-C04-000128,REF-C04-000128,1113.93,BRL,2026-04-22,Synthetic bank transfer REF-C04-000128,CUST-C04-0009,bank_match_candidate
BANK-C04-000129,REF-C04-000129,-92.43,BRL,2026-04-23,Synthetic bank transfer REF-C04-000129,CUST-C04-0020,bank_match_candidate
BANK-C04-000130,REF-C04-000130,736.60,BRL,2026-04-24,Synthetic bank transfer REF-C04-000130,CUST-C04-0031,bank_match_candidate
BANK-C04-000131,REF-C04-000131,1046.68,BRL,2026-04-25,Synthetic bank transfer REF-C04-000131,CUST-C04-0042,bank_match_candidate
BANK-C04-000132,REF-C04-000132,887.75,EUR,2026-04-26,Synthetic bank transfer REF-C04-000132,CUST-C04-0053,bank_match_candidate
BANK-C04-000133,REF-C04-000133,657.14,BRL,2026-04-27,Synthetic bank transfer REF-C04-000133,CUST-C04-0064,bank_match_candidate
BANK-C04-000134,REF-C04-000134,1025.97,BRL,2026-04-28,Synthetic bank transfer REF-C04-000134,CUST-C04-0075,bank_match_candidate
BANK-C04-000135,REF-C04-000135,701.09,BRL,2026-04-29,Synthetic bank transfer REF-C04-000135,CUST-C04-0086,bank_match_candidate
BANK-C04-000136,REF-C04-000136,348.83,BRL,2026-04-30,Synthetic bank transfer REF-C04-000136,CUST-C04-0097,bank_match_candidate
BANK-C04-000137,REF-C04-000137,463.73,BRL,2026-05-01,Synthetic bank transfer REF-C04-000137,CUST-C04-0108,bank_match_candidate
BANK-C04-000138,REF-C04-000138,455.60,BRL,2026-05-02,Synthetic bank transfer REF-C04-000138,CUST-C04-0119,bank_match_candidate
BANK-C04-000139,REF-C04-000139,762.17,BRL,2026-05-03,Synthetic bank transfer REF-C04-000139,CUST-C04-0130,bank_match_candidate
BANK-C04-000140,REF-C04-000140,1036.13,BRL,2026-04-06,Synthetic bank transfer REF-C04-000140,CUST-C04-0141,bank_match_candidate
BANK-C04-000141,REF-C04-000141,127.34,BRL,2026-04-07,Synthetic bank transfer REF-C04-000141,CUST-C04-0152,small_tolerance_candidate
BANK-C04-000142,REF-C04-000142,179.13,BRL,2026-04-08,Synthetic bank trasnfer REF-C04-000142,CUST-C04-0163,near_match_description_typo
BANK-C04-000143,REF-C04-000143,937.43,BRL,2026-04-09,Synthetic bank transfer REF-C04-000143,CUST-C04-0174,bank_match_candidate
BANK-C04-000144,REF-C04-000144,730.20,BRL,2026-04-10,Synthetic bank transfer REF-C04-000144,CUST-C04-0185,bank_match_candidate
BANK-C04-000145,REF-C04-000145,1127.93,BRL,2026-04-11,Synthetic bank transfer REF-C04-000145,CUST-C04-0196,bank_match_candidate
BANK-C04-000146,REF-C04-000146,977.95,BRL,2026-04-12,Synthetic bank transfer REF-C04-000146,CUST-C04-0207,bank_match_candidate
BANK-C04-000147,REF-C04-000147,466.98,BRL,2026-04-13,Synthetic bank transfer REF-C04-000147,CUST-C04-0218,bank_match_candidate
BANK-C04-000148,REF-C04-000148,1036.74,BRL,2026-04-14,Synthetic bank transfer REF-C04-000148,CUST-C04-0229,bank_match_candidate
BANK-C04-000149,REF-C04-000149,1070.52,BRL,2026-04-15,Synthetic bank transfer REF-C04-000149,CUST-C04-0240,bank_match_candidate
BANK-C04-000150,REF-C04-000150,21.67,BRL,2026-04-16,Synthetic bank transfer REF-C04-000150,CUST-C04-0251,bank_match_candidate
BANK-C04-000151,REF-C04-000151,1082.20,BRL,2026-04-17,Synthetic bank transfer REF-C04-000151,CUST-C04-0262,bank_match_candidate
BANK-C04-000152,REF-C04-000152,282.98,BRL,2026-04-18,Synthetic bank transfer REF-C04-000152,CUST-C04-0273,bank_match_candidate
BANK-C04-000153,REF-C04-000153,60.16,BRL,2026-04-19,Synthetic bank transfer REF-C04-000153,CUST-C04-0284,bank_match_candidate
BANK-C04-000154,REF-C04-000154,413.29,BRL,2026-04-20,Synthetic bank transfer REF-C04-000154,CUST-C04-0295,bank_match_candidate
BANK-C04-000155,REF-C04-000155,1231.03,BRL,2026-04-21,Synthetic bank transfer REF-C04-000155,CUST-C04-0306,bank_match_candidate
BANK-C04-000156,REF-C04-000156,1234.84,USD,2026-04-22,Synthetic bank transfer REF-C04-000156,CUST-C04-0317,bank_match_candidate
BANK-C04-000157,REF-C04-000157,735.38,BRL,2026-04-23,Synthetic bank transfer REF-C04-000157,CUST-C04-0328,bank_match_candidate
BANK-C04-000158,REF-C04-000158,347.33,BRL,2026-04-24,Synthetic bank transfer REF-C04-000158,CUST-C04-0339,bank_match_candidate
BANK-C04-000159,REF-C04-000159,704.90,BRL,2026-04-25,Synthetic bank transfer REF-C04-000159,CUST-C04-0350,bank_match_candidate
BANK-C04-000160,REF-C04-000160,875.07,BRL,2026-04-26,Synthetic bank transfer REF-C04-000160,CUST-C04-0361,bank_match_candidate
BANK-C04-000161,REF-C04-000161,898.97,BRL,2026-04-27,Synthetic bank transfer REF-C04-000161,CUST-C04-0372,bank_match_candidate
BANK-C04-000162,REF-C04-000162,784.50,BRL,2026-04-28,Synthetic bank transfer REF-C04-000162,CUST-C04-0383,bank_match_candidate
BANK-C04-000163,REF-C04-000163,1100.75,BRL,2026-04-29,Synthetic bank transfer REF-C04-000163,CUST-C04-0394,bank_match_candidate
BANK-C04-000164,REF-C04-000164,378.12,BRL,2026-04-30,Synthetic bank transfer REF-C04-000164,CUST-C04-0405,bank_match_candidate
BANK-C04-000165,REF-C04-000165,323.35,BRL,2026-05-01,Synthetic bank transfer REF-C04-000165,CUST-C04-0416,bank_match_candidate
BANK-C04-000166,REF-C04-000166,1011.77,BRL,2026-05-02,Synthetic bank transfer REF-C04-000166,CUST-C04-0427,bank_match_candidate
BANK-C04-000167,REF-C04-000167,208.41,BRL,2026-05-03,Synthetic bank transfer REF-C04-000167,CUST-C04-0438,bank_match_candidate
BANK-C04-000168,REF-C04-000168,655.34,EUR,2026-04-06,Synthetic bank transfer REF-C04-000168,CUST-C04-0449,bank_match_candidate
BANK-C04-000169,REF-C04-000169,567.91,BRL,2026-04-07,Synthetic bank transfer REF-C04-000169,CUST-C04-0460,bank_match_candidate
BANK-C04-000170,REF-C04-000170,271.13,BRL,2026-04-08,Synthetic bank transfer REF-C04-000170,CUST-C04-0471,bank_match_candidate
BANK-C04-000171,REF-C04-000171,263.09,BRL,2026-04-09,Synthetic bank transfer REF-C04-000171,CUST-C04-0482,bank_match_candidate
BANK-C04-000172,REF-C04-000172,-30.71,BRL,2026-04-10,Synthetic bank transfer REF-C04-000172,CUST-C04-0493,bank_match_candidate
BANK-C04-000173,REF-C04-000173,174.76,BRL,2026-04-11,Synthetic bank transfer REF-C04-000173,CUST-C04-0504,bank_match_candidate
BANK-C04-000174,REF-C04-000174,1180.12,BRL,2026-04-12,Synthetic bank transfer REF-C04-000174,CUST-C04-0515,bank_match_candidate
BANK-C04-000175,REF-C04-000175,612.18,BRL,2026-04-13,Synthetic bank transfer REF-C04-000175,CUST-C04-0526,bank_match_candidate
BANK-C04-000176,REF-C04-000176,1171.65,BRL,2026-04-14,Synthetic bank transfer REF-C04-000176,CUST-C04-0537,bank_match_candidate
BANK-C04-000177,REF-C04-000177,187.89,BRL,2026-04-15,Synthetic bank transfer REF-C04-000177,CUST-C04-0548,amount_mismatch_manual_review
BANK-C04-000178,REF-C04-000178,216.05,BRL,2026-04-16,Synthetic bank transfer REF-C04-000178,CUST-C04-0559,bank_match_candidate
BANK-C04-000179,REF-C04-000179,1137.11,BRL,2026-04-17,Synthetic bank transfer REF-C04-000179,CUST-C04-0570,bank_match_candidate
BANK-C04-000180,REF-C04-000180,199.16,BRL,2026-04-18,Synthetic bank transfer REF-C04-000180,CUST-C04-0581,bank_match_candidate
BANK-C04-000181,REF-C04-000181,628.33,BRL,2026-04-19,Synthetic bank transfer REF-C04-000181,CUST-C04-0592,bank_match_candidate
BANK-C04-000182,REF-C04-000182,720.56,BRL,2026-04-20,Synthetic bank transfer REF-C04-000182,CUST-C04-0603,bank_match_candidate
BANK-C04-000183,REF-C04-000183,1230.86,BRL,2026-04-23,Synthetic bank transfer REF-C04-000183,CUST-C04-0614,bank_match_candidate
BANK-C04-000184,REF-C04-000184,311.06,BRL,2026-04-22,Synthetic bank transfer REF-C04-000184,CUST-C04-0625,bank_match_candidate
BANK-C04-000185,REF-C04-000185,959.09,BRL,2026-04-23,Synthetic bank transfer REF-C04-000185,CUST-C04-0636,bank_match_candidate
BANK-C04-000186,REF-C04-000186,330.28,BRL,2026-04-24,Synthetic bank transfer REF-C04-000186,CUST-C04-0647,bank_match_candidate
BANK-C04-000187,REF-C04-000187,129.18,BRL,2026-04-25,Synthetic bank transfer REF-C04-000187,CUST-C04-0658,bank_match_candidate
BANK-C04-000188,REF-C04-000188,340.63,BRL,2026-04-26,Synthetic bank transfer REF-C04-000188,CUST-C04-0669,small_tolerance_candidate
BANK-C04-000189,REF-C04-000189,50.39,BRL,2026-04-27,Synthetic bank transfer REF-C04-000189,CUST-C04-0680,bank_match_candidate
BANK-C04-000190,REF-C04-000190,50.60,BRL,2026-04-28,Synthetic bank transfer REF-C04-000190,CUST-C04-0691,bank_match_candidate
BANK-C04-000191,REF-C04-000191,1004.04,BRL,2026-04-29,Synthetic bank transfer REF-C04-000191,CUST-C04-0002,bank_match_candidate
BANK-C04-000192,REF-C04-000192,252.98,USD,2026-04-30,Synthetic bank transfer REF-C04-000192,CUST-C04-0013,bank_match_candidate
