gateway_tx_id,reference,amount,currency,captured_at,description,authorization_code,scenario
GTW-C04-000034,REF-C04-000034,1058.67,BRL,2026-04-13T08:24:00Z,Synthetic gateway capture REF-C04-000034,AUTH-C04-000034,gateway_match_candidate
GTW-C04-000035,REF-C04-000035,53.70,BRL,2026-04-14T08:36:00Z,Synthetic gateway capture REF-C04-000035,AUTH-C04-000035,gateway_match_candidate
GTW-C04-000036,REF-C04-000036,360.74,BRL,2026-04-15T08:48:00Z,Synthetic gateway capture REF-C04-000036,AUTH-C04-000036,gateway_match_candidate
GTW-C04-000037,REF-C04-000037,586.12,BRL,2026-04-16T09:00:00Z,Synthetic gateway capture REF-C04-000037,AUTH-C04-000037,gateway_match_candidate
GTW-C04-000038,REF-C04-000038,1049.45,BRL,2026-04-17T09:12:00Z,Synthetic gateway capture REF-C04-000038,AUTH-C04-000038,gateway_match_candidate
GTW-C04-000039,REF-C04-000039,849.93,BRL,2026-04-18T09:24:00Z,Synthetic gateway capture REF-C04-000039,AUTH-C04-000039,gateway_match_candidate
GTW-C04-000040,REF-C04-000040,309.99,BRL,2026-04-19T09:36:00Z,Synthetic gateway capture REF-C04-000040,AUTH-C04-000040,gateway_match_candidate
GTW-C04-000041,REF-C04-000041,96.67,BRL,2026-04-20T09:48:00Z,Synthetic gateway capture REF-C04-000041,AUTH-C04-000041,gateway_match_candidate
GTW-C04-000042,REF-C04-000042,1100.43,BRL,2026-04-21T10:00:00Z,Synthetic gateway capture REF-C04-000042,AUTH-C04-000042,gateway_match_candidate
GTW-C04-000043,REF-C04-000043,-91.11,BRL,2026-04-22T10:12:00Z,Synthetic gateway capture REF-C04-000043,AUTH-C04-000043,negative_amount_review
GTW-C04-000044,REF-C04-000044,599.79,BRL,2026-04-23T10:24:00Z,Synthetic gateway capture REF-C04-000044,AUTH-C04-000044,gateway_match_candidate
GTW-C04-000045,REF-C04-000045,165.84,BRL,2026-04-24T10:36:00Z,Synthetic gateway capture REF-C04-000045,AUTH-C04-000045,gateway_match_candidate
GTW-C04-000046,REF-C04-000046,1253.25,BRL,2026-04-25T10:48:00Z,Synthetic gateway capture REF-C04-000046,AUTH-C04-000046,gateway_match_candidate
GTW-C04-000047,REF-C04-000047,315.77,BRL,2026-04-26T11:00:00Z,Synthetic gateway capture REF-C04-000047,AUTH-C04-000047,gateway_match_candidate
GTW-C04-000048,REF-C04-000048,371.74,USD,2026-04-27T08:00:00Z,Synthetic gateway capture REF-C04-000048,AUTH-C04-000048,gateway_match_candidate
GTW-C04-000049,REF-C04-000049,592.65,BRL,2026-04-28T08:12:00Z,Synthetic gateway capture REF-C04-000049,AUTH-C04-000049,gateway_match_candidate
GTW-C04-000050,REF-C04-000050,41.15,BRL,2026-04-29T08:24:00Z,Synthetic gateway capture REF-C04-000050,AUTH-C04-000050,gateway_match_candidate
GTW-C04-000051,REF-C04-000051,767.64,BRL,2026-04-30T08:36:00Z,Synthetic gateway capture REF-C04-000051,AUTH-C04-000051,gateway_match_candidate
GTW-C04-000052,REF-C04-000052,313.67,BRL,2026-05-01T08:48:00Z,Synthetic gateway capture REF-C04-000052,AUTH-C04-000052,gateway_match_candidate
GTW-C04-000053,REF-C04-000053,1156.58,BRL,2026-05-02T09:00:00Z,Synthetic gateway capture REF-C04-000053,AUTH-C04-000053,gateway_match_candidate
GTW-C04-000054,REF-C04-000054,141.33,BRL,2026-05-03T09:12:00Z,Synthetic gateway capture REF-C04-000054,AUTH-C04-000054,gateway_match_candidate
GTW-C04-000055,REF-C04-000055,353.65,BRL,2026-05-04T09:24:00Z,Synthetic gateway capture REF-C04-000055,AUTH-C04-000055,gateway_match_candidate
GTW-C04-000056,REF-C04-000056,473.01,BRL,2026-04-07T09:36:00Z,Synthetic gateway capture REF-C04-000056,AUTH-C04-000056,gateway_match_candidate
GTW-C04-000057,REF-C04-000057,1057.58,BRL,2026-04-08T09:48:00Z,Synthetic gateway capture REF-C04-000057,AUTH-C04-000057,gateway_match_candidate
GTW-C04-000058,REF-C04-000058,170.84,BRL,2026-04-09T10:00:00Z,Synthetic gateway capture REF-C04-000058,AUTH-C04-000058,gateway_match_candidate
GTW-C04-000059,REF-C04-000059,361.52,BRL,2026-04-10T10:12:00Z,Synthetic gateway capture REF-C04-000059,AUTH-C04-000059,gateway_match_candidate
GTW-C04-000060,REF-C04-000060,1218.35,EUR,2026-04-11T10:24:00Z,Synthetic gateway capture REF-C04-000060,AUTH-C04-000060,gateway_match_candidate
GTW-C04-000061,REF-C04-000061,612.32,BRL,2026-04-12T10:36:00Z,Synthetic gateway capture REF-C04-000061,AUTH-C04-000061,gateway_match_candidate
GTW-C04-000062,REF-C04-000062,295.49,BRL,2026-04-13T10:48:00Z,Synthetic gateway capture REF-C04-000062,AUTH-C04-000062,gateway_match_candidate
GTW-C04-000063,REF-C04-000063,329.25,BRL,2026-04-14T11:00:00Z,Synthetic gateway capture REF-C04-000063,AUTH-C04-000063,gateway_match_candidate
GTW-C04-000064,REF-C04-000064,1290.74,BRL,2026-04-15T08:00:00Z,Synthetic gateway capture REF-C04-000064,AUTH-C04-000064,gateway_match_candidate
GTW-C04-000065,REF-C04-000065,293.67,BRL,2026-04-16T08:12:00Z,Synthetic gateway capture REF-C04-000065,AUTH-C04-000065,gateway_match_candidate
GTW-C04-000066,REF-C04-000066,289.18,BRL,2026-04-17T08:24:00Z,Synthetic gateway capture REF-C04-000066,AUTH-C04-000066,gateway_match_candidate
GTW-C04-000067,REF-C04-000067,213.99,BRL,2026-04-18T08:36:00Z,Synthetic gateway capture REF-C04-000067,AUTH-C04-000067,gateway_amount_mismatch
GTW-C04-000068,REF-C04-000068,907.95,BRL,2026-04-19T08:48:00Z,Synthetic gateway capture REF-C04-000068,AUTH-C04-000068,gateway_match_candidate
GTW-C04-000069,REF-C04-000069,588.55,BRL,2026-04-20T09:00:00Z,Synthetic gateway capture REF-C04-000069,AUTH-C04-000069,gateway_match_candidate
GTW-C04-000070,REF-C04-000070,335.20,BRL,2026-04-21T09:12:00Z,Synthetic gateway capture REF-C04-000070,AUTH-C04-000070,gateway_match_candidate
GTW-C04-000071,REF-C04-000071,47.21,BRL,2026-04-22T09:24:00Z,Synthetic gateway capture REF-C04-000071,AUTH-C04-000071,gateway_match_candidate
GTW-C04-000072,REF-C04-000072,377.52,BRL,2026-04-23T09:36:00Z,Synthetic gateway capture REF-C04-000072,AUTH-C04-000072,gateway_match_candidate
GTW-C04-000073,REF-C04-000073,412.82,BRL,2026-04-24T09:48:00Z,Synthetic gateway capture REF-C04-000073,AUTH-C04-000073,gateway_match_candidate
GTW-C04-000074,REF-C04-000074,1124.93,BRL,2026-04-25T10:00:00Z,Synthetic gateway capture REF-C04-000074,AUTH-C04-000074,gateway_match_candidate
GTW-C04-000075,REF-C04-000075,290.92,BRL,2026-04-26T10:12:00Z,Synthetic gateway capture REF-C04-000075,AUTH-C04-000075,gateway_match_candidate
GTW-C04-000076,REF-C04-000076,1271.35,BRL,2026-04-27T10:24:00Z,Synthetic gateway capture REF-C04-000076,AUTH-C04-000076,gateway_match_candidate
GTW-C04-000077,REF-C04-000077,319.31,BRL,2026-04-28T10:36:00Z,Synthetic gateway capture REF-C04-000077,AUTH-C04-000077,gateway_match_candidate
GTW-C04-000078,REF-C04-000078,1147.25,BRL,2026-04-29T10:48:00Z,Synthetic gateway capture REF-C04-000078,AUTH-C04-000078,gateway_match_candidate
GTW-C04-000079,REF-C04-000079,298.57,BRL,2026-04-30T11:00:00Z,Synthetic gateway capture REF-C04-000079,AUTH-C04-000079,gateway_match_candidate
GTW-C04-000080,REF-C04-000080,228.42,BRL,2026-05-01T08:00:00Z,Synthetic gateway capture REF-C04-000080,AUTH-C04-000080,gateway_match_candidate
GTW-C04-000081,REF-C04-000081,814.43,BRL,2026-05-02T08:12:00Z,Synthetic gateway capture REF-C04-000081,AUTH-C04-000081,gateway_match_candidate
GTW-C04-000082,REF-C04-000082,1124.73,BRL,2026-05-03T08:24:00Z,Synthetic gateway capture REF-C04-000082,AUTH-C04-000082,gateway_match_candidate
GTW-C04-000083,REF-C04-000083,1265.45,BRL,2026-05-04T08:36:00Z,Synthetic gateway capture REF-C04-000083,AUTH-C04-000083,gateway_match_candidate
GTW-C04-000084,REF-C04-000084,984.17,USD,2026-04-07T08:48:00Z,Synthetic gateway capture REF-C04-000084,AUTH-C04-000084,gateway_match_candidate
GTW-C04-000085,REF-C04-000085,306.80,BRL,2026-04-08T09:00:00Z,Synthetic gateway capture REF-C04-000085,AUTH-C04-000085,gateway_match_candidate
GTW-C04-000086,REF-C04-000086,-55.19,BRL,2026-04-09T09:12:00Z,Synthetic gateway capture REF-C04-000086,AUTH-C04-000086,negative_amount_review
GTW-C04-000087,REF-C04-000087,171.24,BRL,2026-04-10T09:24:00Z,Synthetic gateway capture REF-C04-000087,AUTH-C04-000087,gateway_match_candidate
GTW-C04-000088,REF-C04-000088,640.98,BRL,2026-04-11T09:36:00Z,Synthetic gateway capture REF-C04-000088,AUTH-C04-000088,gateway_match_candidate
GTW-C04-000089,REF-C04-000089,89.58,BRL,2026-04-12T09:48:00Z,Synthetic gateway capture REF-C04-000089,AUTH-C04-000089,gateway_match_candidate
GTW-C04-000090,REF-C04-000090,199.27,BRL,2026-04-13T10:00:00Z,Synthetic gateway capture REF-C04-000090,AUTH-C04-000090,gateway_match_candidate
GTW-C04-000091,REF-C04-000091,1052.60,BRL,2026-04-14T10:12:00Z,Synthetic gateway capture REF-C04-000091,AUTH-C04-000091,gateway_match_candidate
GTW-C04-000092,REF-C04-000092,324.25,BRL,2026-04-15T10:24:00Z,Synthetic gateway capture REF-C04-000092,AUTH-C04-000092,gateway_match_candidate
GTW-C04-000093,REF-C04-000093,1185.25,BRL,2026-04-16T10:36:00Z,Synthetic gateway capture REF-C04-000093,AUTH-C04-000093,gateway_match_candidate
GTW-C04-000094,REF-C04-000094,115.51,BRL,2026-04-17T10:48:00Z,Synthetic gateway capture REF-C04-000094,AUTH-C04-000094,gateway_match_candidate
GTW-C04-000095,REF-C04-000095,360.58,BRL,2026-04-18T11:00:00Z,Synthetic gateway capture REF-C04-000095,AUTH-C04-000095,gateway_match_candidate
GTW-C04-000096,REF-C04-000096,1260.39,EUR,2026-04-19T08:00:00Z,Synthetic gateway capture REF-C04-000096,AUTH-C04-000096,gateway_match_candidate
GTW-C04-000097,REF-C04-000097,772.62,BRL,2026-04-20T08:12:00Z,Synthetic gateway capture REF-C04-000097,AUTH-C04-000097,gateway_match_candidate
GTW-C04-000098,REF-C04-000098,941.01,BRL,2026-04-21T08:24:00Z,Synthetic gateway capture REF-C04-000098,AUTH-C04-000098,gateway_match_candidate
GTW-C04-000099,REF-C04-000099,285.87,BRL,2026-04-22T08:36:00Z,Synthetic gateway capture REF-C04-000099,AUTH-C04-000099,gateway_match_candidate
GTW-C04-000100,REF-C04-000100,946.56,BRL,2026-04-23T08:48:00Z,Synthetic gateway capture REF-C04-000100,AUTH-C04-000100,gateway_match_candidate
GTW-C04-000101,REF-C04-000101,1053.57,BRL,2026-04-24T09:00:00Z,Synthetic gateway capture REF-C04-000101,AUTH-C04-000101,gateway_match_candidate
GTW-C04-000102,REF-C04-000102,1298.48,BRL,2026-04-25T09:12:00Z,Synthetic gateway capture REF-C04-000102,AUTH-C04-000102,gateway_match_candidate
GTW-C04-000103,REF-C04-000103,328.80,BRL,2026-04-26T09:24:00Z,Synthetic gateway capture REF-C04-000103,AUTH-C04-000103,gateway_match_candidate
GTW-C04-000104,REF-C04-000104,977.77,BRL,2026-04-27T09:36:00Z,Synthetic gateway capture REF-C04-000104,AUTH-C04-000104,gateway_match_candidate
GTW-C04-000105,REF-C04-000105,1022.86,BRL,2026-04-28T09:48:00Z,Synthetic gateway capture REF-C04-000105,AUTH-C04-000105,gateway_match_candidate
GTW-C04-000106,REF-C04-000106,258.07,BRL,2026-04-29T10:00:00Z,Synthetic gateway capture REF-C04-000106,AUTH-C04-000106,gateway_match_candidate
GTW-C04-000107,REF-C04-000107,972.14,BRL,2026-04-30T10:12:00Z,Synthetic gateway capture REF-C04-000107,AUTH-C04-000107,gateway_match_candidate
GTW-C04-000108,REF-C04-000108,1042.67,BRL,2026-05-01T10:24:00Z,Synthetic gateway capture REF-C04-000108,AUTH-C04-000108,gateway_match_candidate
GTW-C04-000109,REF-C04-000109,1278.66,BRL,2026-05-02T10:36:00Z,Synthetic gateway capture REF-C04-000109,AUTH-C04-000109,gateway_match_candidate
GTW-C04-000110,REF-C04-000110,319.12,BRL,2026-05-03T10:48:00Z,Synthetic gateway capture REF-C04-000110,AUTH-C04-000110,gateway_match_candidate
GTW-C04-000111,REF-C04-000111,775.39,BRL,2026-05-04T11:00:00Z,Synthetic gateway capture REF-C04-000111,AUTH-C04-000111,gateway_match_candidate
GTW-C04-000112,REF-C04-000112,1286.92,BRL,2026-04-07T08:00:00Z,Synthetic gateway capture REF-C04-000112,AUTH-C04-000112,gateway_match_candidate
GTW-C04-000113,REF-C04-000113,463.49,BRL,2026-04-08T08:12:00Z,Synthetic gateway capture REF-C04-000113,AUTH-C04-000113,gateway_match_candidate
GTW-C04-000114,REF-C04-000114,364.61,BRL,2026-04-09T08:24:00Z,Synthetic gateway capture REF-C04-000114,AUTH-C04-000114,gateway_match_candidate
GTW-C04-000115,REF-C04-000115,1275.74,BRL,2026-04-10T08:36:00Z,Synthetic gateway capture REF-C04-000115,AUTH-C04-000115,gateway_match_candidate
GTW-C04-000116,REF-C04-000116,391.87,BRL,2026-04-11T08:48:00Z,Synthetic gateway capture REF-C04-000116,AUTH-C04-000116,gateway_match_candidate
GTW-C04-000117,REF-C04-000117,142.72,BRL,2026-04-12T09:00:00Z,Synthetic gateway capture REF-C04-000117,AUTH-C04-000117,gateway_match_candidate
GTW-C04-000118,REF-C04-000118,518.26,BRL,2026-04-13T09:12:00Z,Synthetic gateway capture REF-C04-000118,AUTH-C04-000118,gateway_match_candidate
GTW-C04-000119,REF-C04-000119,1299.61,BRL,2026-04-14T09:24:00Z,Synthetic gateway capture REF-C04-000119,AUTH-C04-000119,gateway_match_candidate
GTW-C04-000120,REF-C04-000120,1232.03,USD,2026-04-15T09:36:00Z,Synthetic gateway capture REF-C04-000120,AUTH-C04-000120,gateway_match_candidate
GTW-C04-000121,REF-C04-000121,299.75,BRL,2026-04-16T09:48:00Z,Synthetic gateway capture REF-C04-000121,AUTH-C04-000121,gateway_match_candidate
GTW-C04-000122,REF-C04-000122,352.91,BRL,2026-04-17T10:00:00Z,Synthetic gateway capture REF-C04-000122,AUTH-C04-000122,gateway_match_candidate
GTW-C04-000123,REF-C04-000123,218.29,BRL,2026-04-18T10:12:00Z,Synthetic gateway capture REF-C04-000123,AUTH-C04-000123,gateway_match_candidate
GTW-C04-000124,REF-C04-000124,1104.46,BRL,2026-04-19T10:24:00Z,Synthetic gateway capture REF-C04-000124,AUTH-C04-000124,gateway_match_candidate
GTW-C04-000125,REF-C04-000125,105.99,BRL,2026-04-20T10:36:00Z,Synthetic gateway capture REF-C04-000125,AUTH-C04-000125,gateway_match_candidate
GTW-C04-000126,REF-C04-000126,1228.11,BRL,2026-04-21T10:48:00Z,Synthetic gateway capture REF-C04-000126,AUTH-C04-000126,gateway_match_candidate
GTW-C04-000127,REF-C04-000127,99.17,BRL,2026-04-22T11:00:00Z,Synthetic gateway capture REF-C04-000127,AUTH-C04-000127,gateway_match_candidate
GTW-C04-000128,REF-C04-000128,1113.93,BRL,2026-04-23T08:00:00Z,Synthetic gateway capture REF-C04-000128,AUTH-C04-000128,gateway_match_candidate
GTW-C04-000129,REF-C04-000129,-92.43,BRL,2026-04-24T08:12:00Z,Synthetic gateway capture REF-C04-000129,AUTH-C04-000129,negative_amount_review
GTW-C04-000130,REF-C04-000130,736.60,BRL,2026-04-25T08:24:00Z,Synthetic gateway capture REF-C04-000130,AUTH-C04-000130,gateway_match_candidate
GTW-C04-000131,REF-C04-000131,1046.68,BRL,2026-04-26T08:36:00Z,Synthetic gateway capture REF-C04-000131,AUTH-C04-000131,gateway_match_candidate
GTW-C04-000132,REF-C04-000132,887.75,EUR,2026-04-27T08:48:00Z,Synthetic gateway capture REF-C04-000132,AUTH-C04-000132,gateway_match_candidate
GTW-C04-000133,REF-C04-000133,657.14,BRL,2026-04-28T09:00:00Z,Synthetic gateway capture REF-C04-000133,AUTH-C04-000133,gateway_match_candidate
GTW-C04-000134,REF-C04-000134,1017.22,BRL,2026-04-29T09:12:00Z,Synthetic gateway capture REF-C04-000134,AUTH-C04-000134,gateway_amount_mismatch
GTW-C04-000135,REF-C04-000135,701.09,BRL,2026-04-30T09:24:00Z,Synthetic gateway capture REF-C04-000135,AUTH-C04-000135,gateway_match_candidate
GTW-C04-000136,REF-C04-000136,348.83,BRL,2026-05-01T09:36:00Z,Synthetic gateway capture REF-C04-000136,AUTH-C04-000136,gateway_match_candidate
GTW-C04-000137,REF-C04-000137,463.73,BRL,2026-05-02T09:48:00Z,Synthetic gateway capture REF-C04-000137,AUTH-C04-000137,gateway_match_candidate
GTW-C04-000138,REF-C04-000138,455.60,BRL,2026-05-03T10:00:00Z,Synthetic gateway capture REF-C04-000138,AUTH-C04-000138,gateway_match_candidate
GTW-C04-000139,REF-C04-000139,762.17,BRL,2026-05-04T10:12:00Z,Synthetic gateway capture REF-C04-000139,AUTH-C04-000139,gateway_match_candidate
GTW-C04-000140,REF-C04-000140,1036.13,BRL,2026-04-07T10:24:00Z,Synthetic gateway capture REF-C04-000140,AUTH-C04-000140,gateway_match_candidate
GTW-C04-000141,REF-C04-000141,127.31,BRL,2026-04-08T10:36:00Z,Synthetic gateway capture REF-C04-000141,AUTH-C04-000141,gateway_match_candidate
GTW-C04-000142,REF-C04-000142,179.13,BRL,2026-04-09T10:48:00Z,Synthetic gateway capture REF-C04-000142,AUTH-C04-000142,gateway_match_candidate
GTW-C04-000143,REF-C04-000143,937.43,BRL,2026-04-10T11:00:00Z,Synthetic gateway capture REF-C04-000143,AUTH-C04-000143,gateway_match_candidate
GTW-C04-000144,REF-C04-000144,730.20,BRL,2026-04-11T08:00:00Z,Synthetic gateway capture REF-C04-000144,AUTH-C04-000144,gateway_match_candidate
GTW-C04-000145,REF-C04-000145,1127.93,BRL,2026-04-12T08:12:00Z,Synthetic gateway capture REF-C04-000145,AUTH-C04-000145,gateway_match_candidate
GTW-C04-000146,REF-C04-000146,977.95,BRL,2026-04-13T08:24:00Z,Synthetic gateway capture REF-C04-000146,AUTH-C04-000146,gateway_match_candidate
GTW-C04-000147,REF-C04-000147,466.98,BRL,2026-04-14T08:36:00Z,Synthetic gateway capture REF-C04-000147,AUTH-C04-000147,gateway_match_candidate
GTW-C04-000148,REF-C04-000148,1036.74,BRL,2026-04-15T08:48:00Z,Synthetic gateway capture REF-C04-000148,AUTH-C04-000148,gateway_match_candidate
GTW-C04-000149,REF-C04-000149,1070.52,BRL,2026-04-16T09:00:00Z,Synthetic gateway capture REF-C04-000149,AUTH-C04-000149,gateway_match_candidate
GTW-C04-000150,REF-C04-000150,21.67,BRL,2026-04-17T09:12:00Z,Synthetic gateway capture REF-C04-000150,AUTH-C04-000150,gateway_match_candidate
GTW-C04-000151,REF-C04-000151,1082.20,BRL,2026-04-18T09:24:00Z,Synthetic gateway capture REF-C04-000151,AUTH-C04-000151,gateway_match_candidate
GTW-C04-000152,REF-C04-000152,282.98,BRL,2026-04-19T09:36:00Z,Synthetic gateway capture REF-C04-000152,AUTH-C04-000152,gateway_match_candidate
GTW-C04-000153,REF-C04-000153,60.16,BRL,2026-04-20T09:48:00Z,Synthetic gateway capture REF-C04-000153,AUTH-C04-000153,gateway_match_candidate
GTW-C04-000154,REF-C04-000154,413.29,BRL,2026-04-21T10:00:00Z,Synthetic gateway capture REF-C04-000154,AUTH-C04-000154,gateway_match_candidate
GTW-C04-000155,REF-C04-000155,1231.03,BRL,2026-04-22T10:12:00Z,Synthetic gateway capture REF-C04-000155,AUTH-C04-000155,gateway_match_candidate
GTW-C04-000156,REF-C04-000156,1234.84,USD,2026-04-23T10:24:00Z,Synthetic gateway capture REF-C04-000156,AUTH-C04-000156,gateway_match_candidate
GTW-C04-000157,REF-C04-000157,735.38,BRL,2026-04-24T10:36:00Z,Synthetic gateway capture REF-C04-000157,AUTH-C04-000157,gateway_match_candidate
GTW-C04-000158,REF-C04-000158,347.33,BRL,2026-04-25T10:48:00Z,Synthetic gateway capture REF-C04-000158,AUTH-C04-000158,gateway_match_candidate
GTW-C04-000159,REF-C04-000159,704.90,BRL,2026-04-26T11:00:00Z,Synthetic gateway capture REF-C04-000159,AUTH-C04-000159,gateway_match_candidate
GTW-C04-000160,REF-C04-000160,875.07,BRL,2026-04-27T08:00:00Z,Synthetic gateway capture REF-C04-000160,AUTH-C04-000160,gateway_match_candidate
GTW-C04-000161,REF-C04-000161,898.97,BRL,2026-04-28T08:12:00Z,Synthetic gateway capture REF-C04-000161,AUTH-C04-000161,gateway_match_candidate
GTW-C04-000162,REF-C04-000162,784.50,BRL,2026-04-29T08:24:00Z,Synthetic gateway capture REF-C04-000162,AUTH-C04-000162,gateway_match_candidate
GTW-C04-000163,REF-C04-000163,1100.75,BRL,2026-04-30T08:36:00Z,Synthetic gateway capture REF-C04-000163,AUTH-C04-000163,gateway_match_candidate
GTW-C04-000164,REF-C04-000164,378.12,BRL,2026-05-01T08:48:00Z,Synthetic gateway capture REF-C04-000164,AUTH-C04-000164,gateway_match_candidate
GTW-C04-000165,REF-C04-000165,323.35,BRL,2026-05-02T09:00:00Z,Synthetic gateway capture REF-C04-000165,AUTH-C04-000165,gateway_match_candidate
GTW-C04-000166,REF-C04-000166,1011.77,BRL,2026-05-03T09:12:00Z,Synthetic gateway capture REF-C04-000166,AUTH-C04-000166,gateway_match_candidate
GTW-C04-000167,REF-C04-000167,208.41,BRL,2026-05-04T09:24:00Z,Synthetic gateway capture REF-C04-000167,AUTH-C04-000167,gateway_match_candidate
GTW-C04-000168,REF-C04-000168,655.34,EUR,2026-04-07T09:36:00Z,Synthetic gateway capture REF-C04-000168,AUTH-C04-000168,gateway_match_candidate
GTW-C04-000169,REF-C04-000169,567.91,BRL,2026-04-08T09:48:00Z,Synthetic gateway capture REF-C04-000169,AUTH-C04-000169,gateway_match_candidate
