ledger_tx_id,reference,amount,currency,occurred_at,description,customer_ref,scenario
LED-C04-000025,REF-C04-000025,569.77,BRL,2026-05-01T09:30:00Z,Synthetic ledger transfer REF-C04-000025,CUST-C04-0276,exception_lab_match_candidate
LED-C04-000026,REF-C04-000026,999.52,BRL,2026-05-02T09:40:00Z,Synthetic ledger transfer REF-C04-000026,CUST-C04-0287,exception_lab_match_candidate
LED-C04-000027,REF-C04-000027,385.79,BRL,2026-05-03T09:50:00Z,Synthetic ledger transfer REF-C04-000027,CUST-C04-0298,exception_lab_match_candidate
LED-C04-000028,REF-C04-000028,1176.35,BRL,2026-04-06T10:00:00Z,Synthetic ledger transfer REF-C04-000028,CUST-C04-0309,exception_lab_match_candidate
LED-C04-000029,REF-C04-000029,293.16,BRL,2026-04-07T10:10:00Z,Synthetic ledger transfer REF-C04-000029,CUST-C04-0320,exception_lab_match_candidate
LED-C04-000030,REF-C04-000030,846.00,BRL,2026-04-08T10:20:00Z,Synthetic ledger transfer REF-C04-000030,CUST-C04-0331,exception_lab_match_candidate
LED-C04-000031,REF-C04-000031,488.23,BRL,2026-04-09T10:30:00Z,Synthetic ledger transfer REF-C04-000031,CUST-C04-0342,exception_lab_match_candidate
LED-C04-000032,REF-C04-000032,401.00,BRL,2026-04-10T08:00:00Z,Synthetic ledger transfer REF-C04-000032,CUST-C04-0353,exception_lab_match_candidate
LED-C04-000033,REF-C04-000033,696.79,BRL,2026-04-11T08:10:00Z,Synthetic ledger transfer REF-C04-000033,CUST-C04-0364,exception_lab_match_candidate
LED-C04-000034,REF-C04-000034,1058.67,BRL,2026-04-12T08:20:00Z,Synthetic ledger transfer REF-C04-000034,CUST-C04-0375,exception_lab_match_candidate
LED-C04-000035,REF-C04-000035,53.70,BRL,2026-04-13T08:30:00Z,Synthetic ledger transfer REF-C04-000035,CUST-C04-0386,exception_lab_match_candidate
LED-C04-000036,REF-C04-000036,360.74,BRL,2026-04-14T08:40:00Z,Synthetic ledger transfer REF-C04-000036,CUST-C04-0397,exception_lab_match_candidate
LED-C04-000037,REF-C04-000037,586.12,BRL,2026-04-15T08:50:00Z,Synthetic ledger transfer REF-C04-000037,CUST-C04-0408,exception_lab_match_candidate
LED-C04-000038,REF-C04-000038,1049.45,BRL,2026-04-16T09:00:00Z,Synthetic ledger transfer REF-C04-000038,CUST-C04-0419,exception_lab_match_candidate
LED-C04-000039,REF-C04-000039,849.93,BRL,2026-04-17T09:10:00Z,Synthetic ledger transfer REF-C04-000039,CUST-C04-0430,exception_lab_match_candidate
LED-C04-000040,REF-C04-000040,309.99,BRL,2026-04-18T09:20:00Z,Synthetic ledger transfer REF-C04-000040,CUST-C04-0441,exception_lab_match_candidate
LED-C04-000041,REF-C04-000041,96.67,BRL,2026-04-19T09:30:00Z,Synthetic ledger transfer REF-C04-000041,CUST-C04-0452,exception_lab_match_candidate
LED-C04-000042,REF-C04-000042,1100.43,BRL,2026-04-20T09:40:00Z,Synthetic ledger transfer REF-C04-000042,CUST-C04-0463,exception_lab_match_candidate
LED-C04-000043,REF-C04-000043,-91.11,BRL,2026-04-21T09:50:00Z,Synthetic ledger transfer REF-C04-000043,CUST-C04-0474,exception_lab_match_candidate
LED-C04-000044,REF-C04-000044,599.79,BRL,2026-04-22T10:00:00Z,Synthetic ledger transfer REF-C04-000044,CUST-C04-0485,exception_lab_match_candidate
LED-C04-000045,REF-C04-000045,165.84,BRL,2026-04-23T10:10:00Z,Synthetic ledger transfer REF-C04-000045,CUST-C04-0496,exception_lab_match_candidate
LED-C04-000046,REF-C04-000046,1253.25,BRL,2026-04-24T10:20:00Z,Synthetic ledger transfer REF-C04-000046,CUST-C04-0507,exception_lab_match_candidate
LED-C04-000047,REF-C04-000047,315.77,BRL,2026-04-25T10:30:00Z,Synthetic ledger transfer REF-C04-000047,CUST-C04-0518,exception_lab_match_candidate
LED-C04-000048,REF-C04-000048,371.74,USD,2026-04-26T08:00:00Z,Synthetic ledger transfer REF-C04-000048,CUST-C04-0529,exception_lab_match_candidate
LED-C04-000049,REF-C04-000049,592.65,BRL,2026-04-27T08:10:00Z,Synthetic ledger transfer REF-C04-000049,CUST-C04-0540,exception_lab_match_candidate
LED-C04-000050,REF-C04-000050,41.15,BRL,2026-04-28T08:20:00Z,Synthetic ledger transfer REF-C04-000050,CUST-C04-0551,exception_lab_match_candidate
LED-C04-000051,REF-C04-000051,767.64,BRL,2026-04-29T08:30:00Z,Synthetic ledger transfer REF-C04-000051,CUST-C04-0562,exception_lab_match_candidate
LED-C04-000052,REF-C04-000052,313.67,BRL,2026-04-30T08:40:00Z,Synthetic ledger transfer REF-C04-000052,CUST-C04-0573,exception_lab_match_candidate
LED-C04-000053,REF-C04-000053,1156.58,BRL,2026-05-01T08:50:00Z,Synthetic ledger transfer REF-C04-000053,CUST-C04-0584,exception_lab_match_candidate
LED-C04-000054,REF-C04-000054,141.33,BRL,2026-05-02T09:00:00Z,Synthetic ledger transfer REF-C04-000054,CUST-C04-0595,exception_lab_match_candidate
LED-C04-000055,REF-C04-000055,353.65,BRL,2026-05-03T09:10:00Z,Synthetic ledger transfer REF-C04-000055,CUST-C04-0606,exception_lab_match_candidate
LED-C04-000056,REF-C04-000056,473.01,BRL,2026-04-06T09:20:00Z,Synthetic ledger transfer REF-C04-000056,CUST-C04-0617,exception_lab_match_candidate
LED-C04-000057,REF-C04-000057,1057.58,BRL,2026-04-07T09:30:00Z,Synthetic ledger transfer REF-C04-000057,CUST-C04-0628,exception_lab_match_candidate
LED-C04-000058,REF-C04-000058,170.84,BRL,2026-04-08T09:40:00Z,Synthetic ledger transfer REF-C04-000058,CUST-C04-0639,exception_lab_match_candidate
LED-C04-000059,REF-C04-000059,361.52,BRL,2026-04-09T09:50:00Z,Synthetic ledger transfer REF-C04-000059,CUST-C04-0650,exception_lab_match_candidate
LED-C04-000060,REF-C04-000060,1218.35,EUR,2026-04-10T10:00:00Z,Synthetic ledger transfer REF-C04-000060,CUST-C04-0661,exception_lab_match_candidate
LED-C04-000061,REF-C04-000061,612.32,BRL,2026-04-11T10:10:00Z,Synthetic ledger transfer REF-C04-000061,CUST-C04-0672,exception_lab_match_candidate
LED-C04-000062,REF-C04-000062,295.49,BRL,2026-04-12T10:20:00Z,Synthetic ledger transfer REF-C04-000062,CUST-C04-0683,exception_lab_match_candidate
LED-C04-000063,REF-C04-000063,329.25,BRL,2026-04-13T10:30:00Z,Synthetic ledger transfer REF-C04-000063,CUST-C04-0694,exception_lab_match_candidate
LED-C04-000064,REF-C04-000064,1290.74,BRL,2026-04-14T08:00:00Z,Synthetic ledger transfer REF-C04-000064,CUST-C04-0005,exception_lab_match_candidate
LED-C04-000065,REF-C04-000065,293.67,BRL,2026-04-15T08:10:00Z,Synthetic ledger transfer REF-C04-000065,CUST-C04-0016,exception_lab_match_candidate
LED-C04-000066,REF-C04-000066,289.18,BRL,2026-04-16T08:20:00Z,Synthetic ledger transfer REF-C04-000066,CUST-C04-0027,exception_lab_match_candidate
LED-C04-000067,REF-C04-000067,222.74,BRL,2026-04-17T08:30:00Z,Synthetic ledger transfer REF-C04-000067,CUST-C04-0038,exception_lab_match_candidate
LED-C04-000068,REF-C04-000068,907.95,BRL,2026-04-18T08:40:00Z,Synthetic ledger transfer REF-C04-000068,CUST-C04-0049,exception_lab_match_candidate
LED-C04-000069,REF-C04-000069,588.55,BRL,2026-04-19T08:50:00Z,Synthetic ledger transfer REF-C04-000069,CUST-C04-0060,exception_lab_match_candidate
LED-C04-000070,REF-C04-000070,335.20,BRL,2026-04-20T09:00:00Z,Synthetic ledger transfer REF-C04-000070,CUST-C04-0071,exception_lab_match_candidate
LED-C04-000071,REF-C04-000071,47.21,BRL,2026-04-21T09:10:00Z,Synthetic ledger transfer REF-C04-000071,CUST-C04-0082,exception_lab_match_candidate
LED-C04-000072,REF-C04-000072,377.52,BRL,2026-04-22T09:20:00Z,Synthetic ledger transfer REF-C04-000072,CUST-C04-0093,exception_lab_match_candidate
LED-C04-000073,REF-C04-000073,412.82,BRL,2026-04-23T09:30:00Z,Synthetic ledger transfer REF-C04-000073,CUST-C04-0104,exception_lab_match_candidate
LED-C04-000074,REF-C04-000074,1124.93,BRL,2026-04-24T09:40:00Z,Synthetic ledger transfer REF-C04-000074,CUST-C04-0115,exception_lab_match_candidate
LED-C04-000075,REF-C04-000075,290.92,BRL,2026-04-25T09:50:00Z,Synthetic ledger transfer REF-C04-000075,CUST-C04-0126,exception_lab_match_candidate
LED-C04-000076,REF-C04-000076,1271.35,BRL,2026-04-26T10:00:00Z,Synthetic ledger transfer REF-C04-000076,CUST-C04-0137,exception_lab_match_candidate
LED-C04-000077,REF-C04-000077,319.31,BRL,2026-04-27T10:10:00Z,Synthetic ledger transfer REF-C04-000077,CUST-C04-0148,exception_lab_match_candidate
LED-C04-000078,REF-C04-000078,1147.25,BRL,2026-04-28T10:20:00Z,Synthetic ledger transfer REF-C04-000078,CUST-C04-0159,exception_lab_match_candidate
LED-C04-000079,REF-C04-000079,298.57,BRL,2026-04-29T10:30:00Z,Synthetic ledger transfer REF-C04-000079,CUST-C04-0170,exception_lab_match_candidate
LED-C04-000080,REF-C04-000080,228.42,BRL,2026-04-30T08:00:00Z,Synthetic ledger transfer REF-C04-000080,CUST-C04-0181,exception_lab_match_candidate
LED-C04-000081,REF-C04-000081,814.43,BRL,2026-05-01T08:10:00Z,Synthetic ledger transfer REF-C04-000081,CUST-C04-0192,exception_lab_match_candidate
LED-C04-000082,REF-C04-000082,1124.73,BRL,2026-05-02T08:20:00Z,Synthetic ledger transfer REF-C04-000082,CUST-C04-0203,exception_lab_match_candidate
LED-C04-000083,REF-C04-000083,1265.45,BRL,2026-05-03T08:30:00Z,Synthetic ledger transfer REF-C04-000083,CUST-C04-0214,exception_lab_match_candidate
LED-C04-000084,REF-C04-000084,984.17,USD,2026-04-06T08:40:00Z,Synthetic ledger transfer REF-C04-000084,CUST-C04-0225,exception_lab_match_candidate
LED-C04-000085,REF-C04-000085,306.80,BRL,2026-04-07T08:50:00Z,Synthetic ledger transfer REF-C04-000085,CUST-C04-0236,exception_lab_match_candidate
LED-C04-000086,REF-C04-000086,-55.19,BRL,2026-04-08T09:00:00Z,Synthetic ledger transfer REF-C04-000086,CUST-C04-0247,exception_lab_match_candidate
LED-C04-000087,REF-C04-000087,171.24,BRL,2026-04-09T09:10:00Z,Synthetic ledger transfer REF-C04-000087,CUST-C04-0258,exception_lab_match_candidate
LED-C04-000088,REF-C04-000088,640.98,BRL,2026-04-10T09:20:00Z,Synthetic ledger transfer REF-C04-000088,CUST-C04-0269,exception_lab_match_candidate
LED-C04-000089,REF-C04-000088,89.58,BRL,2026-04-11T09:30:00Z,Synthetic ledger transfer REF-C04-000089,CUST-C04-0280,duplicate_reference_candidate
LED-C04-000090,REF-C04-000090,199.27,BRL,2026-04-12T09:40:00Z,Synthetic ledger transfer REF-C04-000090,CUST-C04-0291,exception_lab_match_candidate
LED-C04-000091,REF-C04-000091,1052.60,BRL,2026-04-13T09:50:00Z,Synthetic ledger transfer REF-C04-000091,CUST-C04-0302,exception_lab_match_candidate
LED-C04-000092,REF-C04-000092,324.25,BRL,2026-04-14T10:00:00Z,Synthetic ledger transfer REF-C04-000092,CUST-C04-0313,exception_lab_match_candidate
LED-C04-000093,REF-C04-000093,1185.25,BRL,2026-04-15T10:10:00Z,Synthetic ledger transfer REF-C04-000093,CUST-C04-0324,exception_lab_match_candidate
LED-C04-000094,REF-C04-000094,115.51,BRL,2026-04-16T10:20:00Z,Synthetic ledger transfer REF-C04-000094,CUST-C04-0335,exception_lab_match_candidate
LED-C04-000095,REF-C04-000095,360.58,BRL,2026-04-17T10:30:00Z,Synthetic ledger transfer REF-C04-000095,CUST-C04-0346,exception_lab_match_candidate
LED-C04-000096,REF-C04-000096,1260.39,EUR,2026-04-18T08:00:00Z,Synthetic ledger transfer REF-C04-000096,CUST-C04-0357,exception_lab_match_candidate
LED-C04-000097,REF-C04-000097,772.62,BRL,2026-04-19T08:10:00Z,Synthetic ledger transfer REF-C04-000097,CUST-C04-0368,exception_lab_match_candidate
LED-C04-000098,REF-C04-000098,941.01,BRL,2026-04-20T08:20:00Z,Synthetic ledger transfer REF-C04-000098,CUST-C04-0379,exception_lab_match_candidate
LED-C04-000099,REF-C04-000099,285.87,BRL,2026-04-21T08:30:00Z,Synthetic ledger transfer REF-C04-000099,CUST-C04-0390,exception_lab_match_candidate
LED-C04-000100,REF-C04-000100,946.56,BRL,2026-04-22T08:40:00Z,Synthetic ledger transfer REF-C04-000100,CUST-C04-0401,exception_lab_match_candidate
LED-C04-000101,,1053.57,BRL,2026-04-23T08:50:00Z,Synthetic ledger transfer REF-C04-000101,CUST-C04-0412,missing_reference_manual_review
LED-C04-000102,REF-C04-000102,1298.48,BRL,2026-04-24T09:00:00Z,Synthetic ledger transfer REF-C04-000102,CUST-C04-0423,exception_lab_match_candidate
LED-C04-000103,REF-C04-000103,328.80,BRL,2026-04-25T09:10:00Z,Synthetic ledger transfer REF-C04-000103,CUST-C04-0434,exception_lab_match_candidate
LED-C04-000104,REF-C04-000104,977.77,BRL,2026-04-26T09:20:00Z,Synthetic ledger transfer REF-C04-000104,CUST-C04-0445,exception_lab_match_candidate
LED-C04-000105,REF-C04-000105,1022.86,BRL,2026-04-27T09:30:00Z,Synthetic ledger transfer REF-C04-000105,CUST-C04-0456,exception_lab_match_candidate
LED-C04-000106,REF-C04-000106,258.07,BRL,2026-04-28T09:40:00Z,Synthetic ledger transfer REF-C04-000106,CUST-C04-0467,exception_lab_match_candidate
LED-C04-000107,REF-C04-000107,972.14,BRL,2026-04-29T09:50:00Z,Synthetic ledger transfer REF-C04-000107,CUST-C04-0478,exception_lab_match_candidate
LED-C04-000108,REF-C04-000108,1042.67,BRL,2026-04-30T10:00:00Z,Synthetic ledger transfer REF-C04-000108,CUST-C04-0489,exception_lab_match_candidate
LED-C04-000109,REF-C04-000109,1278.66,BRL,2026-05-01T10:10:00Z,Synthetic ledger transfer REF-C04-000109,CUST-C04-0500,exception_lab_match_candidate
LED-C04-000110,REF-C04-000110,319.12,BRL,2026-05-02T10:20:00Z,Synthetic ledger transfer REF-C04-000110,CUST-C04-0511,exception_lab_match_candidate
LED-C04-000111,REF-C04-000111,775.39,BRL,2026-05-03T10:30:00Z,Synthetic ledger transfer REF-C04-000111,CUST-C04-0522,exception_lab_match_candidate
LED-C04-000112,REF-C04-000112,1286.92,BRL,2026-04-06T08:00:00Z,Synthetic ledger transfer REF-C04-000112,CUST-C04-0533,exception_lab_match_candidate
LED-C04-000113,REF-C04-000113,463.49,BRL,2026-04-07T08:10:00Z,Synthetic ledger transfer REF-C04-000113,CUST-C04-0544,exception_lab_match_candidate
LED-C04-000114,REF-C04-000114,364.61,BRL,2026-04-08T08:20:00Z,Synthetic ledger transfer REF-C04-000114,CUST-C04-0555,exception_lab_match_candidate
LED-C04-000115,REF-C04-000115,1275.74,BRL,2026-04-09T08:30:00Z,Synthetic ledger transfer REF-C04-000115,CUST-C04-0566,exception_lab_match_candidate
LED-C04-000116,REF-C04-000116,391.87,BRL,2026-04-10T08:40:00Z,Synthetic ledger transfer REF-C04-000116,CUST-C04-0577,exception_lab_match_candidate
LED-C04-000117,REF-C04-000117,142.72,BRL,2026-04-11T08:50:00Z,Synthetic ledger transfer REF-C04-000117,CUST-C04-0588,exception_lab_match_candidate
LED-C04-000118,REF-C04-000118,518.26,BRL,2026-04-12T09:00:00Z,Synthetic ledger transfer REF-C04-000118,CUST-C04-0599,exception_lab_match_candidate
LED-C04-000119,REF-C04-000119,1299.61,BRL,2026-04-13T09:10:00Z,Synthetic ledger transfer REF-C04-000119,CUST-C04-0610,exception_lab_match_candidate
LED-C04-000120,REF-C04-000120,1232.03,USD,2026-04-14T09:20:00Z,Synthetic ledger transfer REF-C04-000120,CUST-C04-0621,exception_lab_match_candidate
LED-C04-000121,REF-C04-000121,299.75,BRL,2026-04-15T09:30:00Z,Synthetic ledger transfer REF-C04-000121,CUST-C04-0632,exception_lab_match_candidate
LED-C04-000122,REF-C04-000122,352.91,BRL,2026-04-16T09:40:00Z,Synthetic ledger transfer REF-C04-000122,CUST-C04-0643,exception_lab_match_candidate
LED-C04-000123,REF-C04-000123,218.29,BRL,2026-04-17T09:50:00Z,Synthetic ledger transfer REF-C04-000123,CUST-C04-0654,exception_lab_match_candidate
LED-C04-000124,REF-C04-000124,1104.46,BRL,2026-04-18T10:00:00Z,Synthetic ledger transfer REF-C04-000124,CUST-C04-0665,exception_lab_match_candidate
LED-C04-000125,REF-C04-000125,105.99,BRL,2026-04-19T10:10:00Z,Synthetic ledger transfer REF-C04-000125,CUST-C04-0676,exception_lab_match_candidate
LED-C04-000126,REF-C04-000126,1228.11,BRL,2026-04-20T10:20:00Z,Synthetic ledger transfer REF-C04-000126,CUST-C04-0687,exception_lab_match_candidate
LED-C04-000127,REF-C04-000127,99.17,BRL,2026-04-21T10:30:00Z,Synthetic ledger transfer REF-C04-000127,CUST-C04-0698,exception_lab_match_candidate
LED-C04-000128,REF-C04-000128,1113.93,BRL,2026-04-22T08:00:00Z,Synthetic ledger transfer REF-C04-000128,CUST-C04-0009,exception_lab_match_candidate
LED-C04-000129,REF-C04-000129,-92.43,BRL,2026-04-23T08:10:00Z,Synthetic ledger transfer REF-C04-000129,CUST-C04-0020,exception_lab_match_candidate
LED-C04-000130,REF-C04-000130,736.60,BRL,2026-04-24T08:20:00Z,Synthetic ledger transfer REF-C04-000130,CUST-C04-0031,exception_lab_match_candidate
LED-C04-000131,REF-C04-000131,1046.68,BRL,2026-04-25T08:30:00Z,Synthetic ledger transfer REF-C04-000131,CUST-C04-0042,exception_lab_match_candidate
LED-C04-000132,REF-C04-000132,887.75,EUR,2026-04-26T08:40:00Z,Synthetic ledger transfer REF-C04-000132,CUST-C04-0053,exception_lab_match_candidate
LED-C04-000133,REF-C04-000133,657.14,BRL,2026-04-27T08:50:00Z,Synthetic ledger transfer REF-C04-000133,CUST-C04-0064,exception_lab_match_candidate
LED-C04-000134,REF-C04-000134,1025.97,BRL,2026-04-28T09:00:00Z,Synthetic ledger transfer REF-C04-000134,CUST-C04-0075,exception_lab_match_candidate
LED-C04-000135,REF-C04-000135,701.09,BRL,2026-04-29T09:10:00Z,Synthetic ledger transfer REF-C04-000135,CUST-C04-0086,exception_lab_match_candidate
LED-C04-000136,REF-C04-000136,348.83,BRL,2026-04-30T09:20:00Z,Synthetic ledger transfer REF-C04-000136,CUST-C04-0097,exception_lab_match_candidate
LED-C04-000137,REF-C04-000137,463.73,BRL,2026-05-01T09:30:00Z,Synthetic ledger transfer REF-C04-000137,CUST-C04-0108,exception_lab_match_candidate
LED-C04-000138,REF-C04-000138,455.60,BRL,2026-05-02T09:40:00Z,Synthetic ledger transfer REF-C04-000138,CUST-C04-0119,exception_lab_match_candidate
LED-C04-000139,REF-C04-000139,762.17,BRL,2026-05-03T09:50:00Z,Synthetic ledger transfer REF-C04-000139,CUST-C04-0130,exception_lab_match_candidate
LED-C04-000140,REF-C04-000140,1036.13,BRL,2026-04-06T10:00:00Z,Synthetic ledger transfer REF-C04-000140,CUST-C04-0141,exception_lab_match_candidate
LED-C04-000141,REF-C04-000141,127.31,BRL,2026-04-07T10:10:00Z,Synthetic ledger transfer REF-C04-000141,CUST-C04-0152,exception_lab_match_candidate
LED-C04-000142,REF-C04-000142,179.13,BRL,2026-04-08T10:20:00Z,Synthetic ledger transfer REF-C04-000142,CUST-C04-0163,exception_lab_match_candidate
LED-C04-000143,REF-C04-000143,937.43,BRL,2026-04-09T10:30:00Z,Synthetic ledger transfer REF-C04-000143,CUST-C04-0174,exception_lab_match_candidate
LED-C04-000144,REF-C04-000144,730.20,BRL,2026-04-10T08:00:00Z,Synthetic ledger transfer REF-C04-000144,CUST-C04-0185,exception_lab_match_candidate
LED-C04-000145,REF-C04-000145,1127.93,BRL,2026-04-11T08:10:00Z,Synthetic ledger transfer REF-C04-000145,CUST-C04-0196,exception_lab_match_candidate
LED-C04-000146,REF-C04-000146,977.95,BRL,2026-04-12T08:20:00Z,Synthetic ledger transfer REF-C04-000146,CUST-C04-0207,exception_lab_match_candidate
LED-C04-000147,REF-C04-000147,466.98,BRL,2026-04-13T08:30:00Z,Synthetic ledger transfer REF-C04-000147,CUST-C04-0218,exception_lab_match_candidate
LED-C04-000148,REF-C04-000148,1036.74,BRL,2026-04-14T08:40:00Z,Synthetic ledger transfer REF-C04-000148,CUST-C04-0229,exception_lab_match_candidate
LED-C04-000149,REF-C04-000149,1070.52,BRL,2026-04-15T08:50:00Z,Synthetic ledger transfer REF-C04-000149,CUST-C04-0240,exception_lab_match_candidate
LED-C04-000150,REF-C04-000150,21.67,BRL,2026-04-16T09:00:00Z,Synthetic ledger transfer REF-C04-000150,CUST-C04-0251,exception_lab_match_candidate
LED-C04-000151,REF-C04-000151,1082.20,BRL,2026-04-17T09:10:00Z,Synthetic ledger transfer REF-C04-000151,CUST-C04-0262,exception_lab_match_candidate
LED-C04-000152,REF-C04-000152,282.98,BRL,2026-04-18T09:20:00Z,Synthetic ledger transfer REF-C04-000152,CUST-C04-0273,exception_lab_match_candidate
LED-C04-000153,REF-C04-000153,60.16,BRL,2026-04-19T09:30:00Z,Synthetic ledger transfer REF-C04-000153,CUST-C04-0284,exception_lab_match_candidate
LED-C04-000154,REF-C04-000154,413.29,BRL,2026-04-20T09:40:00Z,Synthetic ledger transfer REF-C04-000154,CUST-C04-0295,exception_lab_match_candidate
LED-C04-000155,REF-C04-000155,1231.03,BRL,2026-04-21T09:50:00Z,Synthetic ledger transfer REF-C04-000155,CUST-C04-0306,exception_lab_match_candidate
LED-C04-000156,REF-C04-000156,1234.84,USD,2026-04-22T10:00:00Z,Synthetic ledger transfer REF-C04-000156,CUST-C04-0317,exception_lab_match_candidate
LED-C04-000157,REF-C04-000157,735.38,BRL,2026-04-23T10:10:00Z,Synthetic ledger transfer REF-C04-000157,CUST-C04-0328,exception_lab_match_candidate
LED-C04-000158,REF-C04-000158,347.33,BRL,2026-04-24T10:20:00Z,Synthetic ledger transfer REF-C04-000158,CUST-C04-0339,exception_lab_match_candidate
LED-C04-000159,REF-C04-000159,704.90,BRL,2026-04-25T10:30:00Z,Synthetic ledger transfer REF-C04-000159,CUST-C04-0350,exception_lab_match_candidate
LED-C04-000160,REF-C04-000160,875.07,BRL,2026-04-26T08:00:00Z,Synthetic ledger transfer REF-C04-000160,CUST-C04-0361,exception_lab_match_candidate
LED-C04-000161,REF-C04-000161,898.97,BRL,2026-04-27T08:10:00Z,Synthetic ledger transfer REF-C04-000161,CUST-C04-0372,exception_lab_match_candidate
LED-C04-000162,REF-C04-000162,784.50,BRL,2026-04-28T08:20:00Z,Synthetic ledger transfer REF-C04-000162,CUST-C04-0383,exception_lab_match_candidate
LED-C04-000163,REF-C04-000163,1100.75,BRL,2026-04-29T08:30:00Z,Synthetic ledger transfer REF-C04-000163,CUST-C04-0394,exception_lab_match_candidate
LED-C04-000164,REF-C04-000164,378.12,BRL,2026-04-30T08:40:00Z,Synthetic ledger transfer REF-C04-000164,CUST-C04-0405,exception_lab_match_candidate
LED-C04-000165,REF-C04-000165,323.35,BRL,2026-05-01T08:50:00Z,Synthetic ledger transfer REF-C04-000165,CUST-C04-0416,exception_lab_match_candidate
LED-C04-000166,REF-C04-000166,1011.77,BRL,2026-05-02T09:00:00Z,Synthetic ledger transfer REF-C04-000166,CUST-C04-0427,exception_lab_match_candidate
LED-C04-000167,REF-C04-000167,208.41,BRL,2026-05-03T09:10:00Z,Synthetic ledger transfer REF-C04-000167,CUST-C04-0438,exception_lab_match_candidate
